id,title,start,end,category,labels,rank,local_rank,phq_attendance,location,duration,place_hierarchies,updated
EjMD6djcRnZqDP8p84,Festival of Fountains,2025-05-09T13:00:00Z,2025-09-28T22:00:00Z,festivals,,100,100,600000.0,[-75.67148704  39.87429309],12301200,"[array(['6295630', '6255149', '6252001', '6254927', '5184079', '4558949',
        '4559335'], dtype=object)
 array(['6295630', '6255149', '6252001', '6254927', '5184079', '4562135',
        '4562144'], dtype=object)                                        ]",2025-06-02T23:09:48Z
4Vq9nLagBjR9XgBp2g,The Blakeslee Concert Series,2025-07-11T04:00:00Z,2025-09-27T03:59:59Z,festivals,,50,79,1000.0,[-77.917968  33.982445],6739199,"[array(['6295630', '6255149', '6252001', '4482348', '4481757', '4466040',
        '4474609'], dtype=object)
 array(['6295630', '6255149', '6252001', '4482348', '4457580', '4495336',
        '4456615'], dtype=object)                                        ]",2025-07-07T01:39:42Z
CApUtCHFeYWEkYZVuw,Ebensburg Farmer's Market,2025-07-12T04:00:00Z,2025-09-21T03:59:59Z,festivals,,38,67,250.0,[-78.726938  40.485397],6134399,"[array(['6295630', '6255149', '6252001', '6254927', '5182829', '5188198',
        '5188193'], dtype=object)                                        ]",2025-05-26T01:58:03Z
BD75L8EkVDNZLhotY5,Saturday Market,2025-07-12T06:00:00Z,2025-09-21T05:59:59Z,festivals,,54,80,1500.0,[-109.678224   48.553614],6134399,"[array(['6295630', '6255149', '6252001', '5667009', '5657400', '5636461'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '5667009', '5657400', '5656497'],
       dtype=object)                                                      ]",2025-01-20T00:37:32Z
3iLeJtm7SiFZkj7sCP,SummerStage,2025-08-01T04:00:00Z,2025-10-10T03:59:59Z,festivals,,91,89,110000.0,[-73.9728461   40.77248093],6047999,"[array(['6295630', '6255149', '6252001', '5128638', '5128581'],
       dtype=object)                                           ]",2025-11-13T21:29:07Z
Ew5rAzZkaiSj9XYRwu,Star Spangled Summer Concert Series Aug - Sept,2025-08-02T04:00:00Z,2025-09-28T03:59:59Z,festivals,,58,82,2500.0,[-81.009352  29.231476],4924799,"[array(['6295630', '6255149', '6252001', '4155751', '4176559', '4172335'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4155751', '4155535', '4149363'],
       dtype=object)                                                      ]",2025-06-30T01:12:32Z
4EoG4BaccMLoPhZXTu,Snowbird’s Oktoberfest,2025-08-09T06:00:00Z,2025-10-13T05:59:59Z,festivals,,86,100,60000.0,[-111.65816102   40.58121997],5615999,"[array(['6295630', '6255149', '6252001', '5549030', '5781004', '8604823'],
       dtype=object)                                                      ]",2025-05-14T19:02:52Z
5CVeHtQpaASoQYfWLQ,New York Renaissance Faire,2025-08-16T04:00:00Z,2025-10-06T03:59:59Z,festivals,,95,100,175000.0,[-74.22926417  41.24903575],4406399,"[array(['6295630', '6255149', '6252001', '5128638', '5129915', '5141657',
        '7189275'], dtype=object)
 array(['6295630', '6255149', '6252001', '5128638', '5129915', '5118913',
        '5118920'], dtype=object)                                        ]",2025-07-14T03:14:41Z
6odgRuJXkJT3i7GSPz,Michigan Renaissance Festival,2025-08-16T04:00:00Z,2025-09-29T03:59:59Z,festivals,,98,100,250000.0,[-83.56804102  42.84690295],3801599,"[array(['6295630', '6255149', '6252001', '5001836', '5004223', '4994889',
        '4994885'], dtype=object)
 array(['6295630', '6255149', '6252001', '5001836', '4993785', '4992979',
        '4992982'], dtype=object)                                        ]",2025-06-30T21:26:06Z
9zqN8TBNwMVs95r63H,Pennsylvania Renaissance Faire,2025-08-16T04:00:00Z,2025-10-27T03:59:59Z,festivals,,92,100,125000.0,[-76.42919247  40.22761931],6220799,"[array(['6295630', '6255149', '6252001', '6254927', '5197085', '5205440',
        '5202172'], dtype=object)
 array(['6295630', '6255149', '6252001', '6254927', '5197522', '5197536',
        '5197517'], dtype=object)                                        ]",2025-09-28T05:37:31Z
