id,title,category,start,end,rank,local_rank,phq_attendance,location,labels,entities,duration,updated
3Ad6pUgSsDZ9YyCuGu,Deer Tick,concerts,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,32,64,120.0,[-70.7040084  42.0919348],,"[{'category': None, 'description': None, 'entity_id': 'NdGqawHj2XKs2GsY7wyfj2', 'formatted_address': None, 'labels': None, 'name': 'Deer Tick', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'DKxDMxpZQjRsh5Rcnbk5Uh', 'formatted_address': '1871 Ocean St, Marshfield, MA 02050, USA', 'labels': None, 'name': 'Levitate Backyard', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-11-18T20:12:23Z
3NKX7YnztkZp6zvndF,Watchtower,concerts,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,39,62,287.0,[-97.3951022  27.7977195],,"[{'category': None, 'description': None, 'entity_id': 'BWjtxGGf9XFJGdL3Ck7BP7', 'formatted_address': None, 'labels': None, 'name': 'Watchtower', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'PsTZg9C8KAGudAWVYPuEB5', 'formatted_address': '511 Starr St, Corpus Christi, TX 78401, USA', 'labels': None, 'name': 'House of Rock', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-09-22T00:14:57Z
3NjBcgX3Hewhk4SgRe,Max Stalling and Heather Stalling,concerts,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,36,59,207.0,[-90.0249  35.0611],,"[{'category': None, 'description': None, 'entity_id': 'EWFbwCfNttFehwghTkM88w', 'formatted_address': None, 'labels': None, 'name': 'Heather Stalling', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': '4tma7CF66yshspsqTnGfuK', 'formatted_address': None, 'labels': None, 'name': 'Max Stalling', 'recurring': None, 'timezone': None, 'type': 'person'}
 {'category': None, 'description': None, 'entity_id': 'fgyTTW2Urczp4BEyABvEw6', 'formatted_address': '3210 Old Hernando Rd, Memphis, TN 38116, USA', 'labels': None, 'name': 'Hernandos Hideaway', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-09-22T00:09:59Z
3UDqEwrBU5ZZ6MPmhD,Sunday Contra at the Monday Club- September,concerts,2025-09-08T00:00:00Z,2025-09-08T02:30:00Z,39,65,289.0,[-90.355103  38.591047],,"[{'category': None, 'description': None, 'entity_id': '38ddfVGqFX4GH2X7ScWtEL7', 'formatted_address': '37 S Maple Ave, Webster Groves, MO 63119, USA', 'labels': None, 'name': 'The Monday Club', 'recurring': None, 'timezone': None, 'type': 'venue'}]",9000,2025-09-22T00:09:59Z
3dYkukhpwpErsSgxE5,Lulada Club,concerts,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,40,43,302.0,[-73.9573947  40.7218813],,"[{'category': None, 'description': None, 'entity_id': 'tTYKja7c7HKygn7TYCg3Cx', 'formatted_address': None, 'labels': None, 'name': 'Lulada Club', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'ZPiEgELhzMpKE5Sukm6vDu', 'formatted_address': '61 Wythe Ave, Brooklyn, NY 11249, USA', 'labels': None, 'name': 'Brooklyn Bowl', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-12-05T21:57:38Z
3krY98LZCsiReR3wre,Namaste India 2025 Informational Session,concerts,2025-09-08T00:00:00Z,2025-09-08T01:00:00Z,32,59,130.0,[-88.2755892  42.6760889],,[],3600,2025-09-22T00:13:59Z
3omo4CBFQNLzJyuZYy,Mountain Melodies Concert featuring Pick N Holler,concerts,2025-09-08T00:00:00Z,2025-09-08T02:00:00Z,39,67,284.0,[-111.73193   35.15985],,[],7200,2025-09-22T00:08:53Z
3yVwcG6sk3ELKJMaqs,Live Band Sunday Takeover,concerts,2025-09-08T00:00:00Z,2025-09-08T02:00:00Z,37,65,219.0,[-82.0131552  33.4465581],,[],7200,2025-09-22T00:10:34Z
47twtTcDxiZTUJ5p2d,Three Dog Night with Little River Band (Rescheduled from 7/19/2025),concerts,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,52,84,1286.0,[-88.6559  30.3937],,"[{'category': None, 'description': None, 'entity_id': 'ADmuUzQsAmyc7pWXcLQ69S', 'formatted_address': None, 'labels': None, 'name': 'Little River Band', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': '6UYZqALjJJ6SXmg62GfECA', 'formatted_address': None, 'labels': None, 'name': 'Redwood', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'XzrqDRX7WqPfai5mZWksec', 'formatted_address': '3855 Dolphin Dr, Gautier, MS 39553, USA', 'labels': None, 'name': 'The Sound Amphitheater', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-12-06T21:57:02Z
49NZekg3NNcNfNh9VB,Strictly The Best Sundays,concerts,2025-09-08T00:00:00Z,2025-09-08T08:00:00Z,27,32,69.0,[-73.92930489  40.64389428],,"[{'category': None, 'description': None, 'entity_id': 'Hzy6946g2Gqj3grCCDGz2U', 'formatted_address': '1165 Utica Ave, Brooklyn, NY 11203, USA', 'labels': None, 'name': 'Round 2 Cafe', 'recurring': None, 'timezone': None, 'type': 'venue'}
 {'category': 'concerts', 'description': 'Join us for the ultimate Sunday vibes at Strictly The Best Sundays in Brooklyn!', 'entity_id': 'spPya9TkthnpbDBcj2xpuv', 'formatted_address': '1165 Utica Avenue, Brooklyn, NY 11203, United States', 'labels': array(['concert', 'event-group', 'music'], dtype=object), 'name': 'Strictly The Best Sundays', 'recurring': None, 'timezone': 'America/New_York', 'type': 'event-group'}]",28800,2025-09-22T00:10:58Z
