lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
349,"2,042",,Far*East Movement
252,"2,405",,N*E*R*D
49,178,,Tropical F*** Storm
"1,143,068","22,193,572",Hip-Hop,24kGoldn
"643,218","13,057,518",RnB,4batz
"2,155,056","193,135,643",Pop Punk,5 Seconds of Summer
"1,370,404","94,681,038",Hip-Hop,A Boogie Wit Da Hoodie
"1,204,732","12,689,952",new wave,A Flock of Seagulls
"1,347,087","35,073,682",Trance,Atb
"431,780","2,586,705",RnB,B2k
"31,674","296,468",Pop,"Benny Blanco, Halsey"
"1,688,382","66,986,419",Electronic,blackbear
"81,550","682,441",Country,Blackhawk
"1,232,783","8,307,218",RnB,BLACKstreet
"4,510,121","298,967,466",Punk Rock,Blink-182
"425,370","9,584,148",RnB,BLXST
"1,032,741","126,108,874",cloud Rap,BONES
"76,193","639,458",Country Rap,Breland
"72,838","548,808",hard rock,BulletBoys
"2,312,583","69,508,128",alternative,CAKE
"915,986","8,813,857",Hip-Hop,Cam'ron
"1,359,141","58,957,284",Hip-Hop,Chance The Rapper
"3,584,005","655,364,516",Pop,Charli XCX
"534,952","6,105,158",,CHRYSTAL
"43,127","364,981",dream Pop,COOL HEAT
"519,692","4,051,413",80s,Debarge
9,10,,"Dierks Bentley, BRELAND"
"307,858","3,729,471",black metal,DRAMA
"73,354","535,840",soul,El DeBarge
"1,698,698","47,908,024",Hip-Hop,Eve
"1,290,624","33,731,116",k-Pop,Fifty Fifty
"654,839","27,291,251",Pop,FLETCHER
"1,395,846","19,273,418",power Pop,Fountains Of Wayne
"1,562,652","148,263,221",heavy metal,GHOST
"862,247","19,801,599",Rap,Glorilla
"2,184,928","38,798,440",indie,GROUPLOVE
"688,422","15,973,881",House,GRYFFIN
"577,171","23,046,745",Drum and bass,Jade
"5,449,265","226,106,684",Hip-Hop,JAY-Z
"415,331","9,003,779",Pop,jessie murph
"748,140","696,862,625",bts,Jin
"1,162,945","20,042,091",blues rock,Kaleo
"1,344,756","68,756,950",Reggaeton,KAROL G
136,685,,Kenny Rogers with Kim Carnes
"5,021,935","261,403,878",rock,Kings Of Leon
"1,068,352","13,400,495",Hip-Hop,K'Naan
"794,223","17,174,872",Rap,KXLLSWXTCH
"41,684","249,501",old school,Lighter Shade Of Brown
"1,839,160","119,223,380",j-Pop,Lisa
"487,551","18,091,052",RnB,Mariah the Scientist
"219,646","3,478,540",Pop,Maro
"1,922,826","40,019,693",rock,Matchbox Twenty
"962,675","24,518,683",reggae,Matisyahu
"189,723","6,591,864",noise rock,McLusky
"143,061","1,812,782",,Meshell Ndegeocello
"944,965","32,774,663",Rap,MGK
"694,567","21,335,732",Rap,Moneybagg Yo
"3,298,199","135,145,201",Hip-Hop,Nas
"566,274","6,012,724",Pop,New Kids On the Block
"4,815,142","141,587,708",Hip-Hop,Outkast
"254,464","2,457,755",techno,pearl
"1,947,191","235,933,796",post-hardcore,Pierce the Veil
"1,670,808","26,074,885",post-grunge,Puddle Of Mudd
"3,647,446","247,003,276",Stoner Rock,Queens of the Stone Age
"427,338","7,431,256",Canadian,Realestk
"10,443","135,155",latin Pop,Rosalia
"1,799,415","90,253,257",Progressive rock,RUSH
"127,041","1,538,986",soul,SIENNA SPIRO
"2,246,779","29,525,061",Pop,Sixpence None The Richer
"680,644","13,712,045",dance,SOFI TUKKER
"92,647","1,148,255",celtic,Solas
"2,455","17,916",,Sons Of Champlin
"74,939","728,517",G-funk,suga free
"510,925","4,309,279",Electronic,Surf Mesa
"1,272,758","36,343,804",alternative rock,Switchfoot
"1,107,477","27,494,443",Hip-Hop,Tech N9ne
"319,776","1,987,531",soul,The Chi-lites
"2,958,783","52,975,095",rock,TOTO
"396,386","5,157,570",funk,Tower of Power
"80,616","904,766",shoegaze,TWEN
"3,150,653","390,643,626",Electronic,twenty one pilots
"1,780,505","464,727,378",k-Pop,Twice
"4,136,311","986,556,355",Hip-Hop,"Tyler, the Creator"
"186,821","2,147,644",darkwave,Ultra Sunn
"4,853,289","97,677,741",RnB,Usher
"179,268","813,095",Disco,Van Mccoy
