event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9537514,2016-07-29T20:00:00-0400,311,The Tabernacle Atlanta,111.05,249,15,68,Atlanta,GA,Live Nation,NoPriceClass,0,486064,138,,,,,,,
9537515,2016-07-30T20:00:00-0400,311,The Tabernacle Atlanta,96.89,299,26,109,Atlanta,GA,Live Nation,NoPriceClass,0,486064,139,,,,,,,
9538723,2016-08-05T18:30:00-0500,311,Austin360 Amphitheater,95.71,449,14,42,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,145,,,,,,,
9538679,2016-03-20T19:30:00-0400,311,Blue Hills Bank Pavilion,107.52,234,6,20,Boston,MA,Live Nation,NoPriceClass,0,486064,7,,,,,,,
9538635,2016-07-08T19:30:00-0500,311,FirstMerit Bank Pavilion at Northerly Island,65.43,140,20,130,Chicago,IL,Live Nation,NoPriceClass,0,486064,117,,,,,,,
9538725,2016-08-06T18:30:00-0500,311,Gexa Energy Pavilion,94.5,556,17,64,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,146,,,,,,,
9537516,2016-07-31T20:00:00-0500,311,Marathon Music Works,85.08,126,9,52,Nashville,TN,Ticketfly,$40.00 ,0,486064,140,466,65,57,0.367109954,0.662285,0.571895,28
9538643,2016-07-17T18:00:00-0400,311,Maine State Pier,79.2,139,13,66,Portland,ME,Ticketmaster,$39.75 ,0,486064,126,466,65,57,0.367109954,0.662285,0.571895,28
9538728,2016-08-14T18:30:00-0700,311,Nob Hill Masonic Auditorium,95.72,225,6,23,San Francisco,CA,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,154,,,,,,,
9529143,2016-03-18T12:00:00-0400,10 Years of Juicy Beach with Robbie Rivera,Epic Hotel Miami,72.65,59.95,2,4,Miami,FL,NoResults,NoResults,NoResults,NoResults,5,,,,,,,
9540796,2016-04-14T20:00:00-0500,"103.5 Kiss FM Spring show with Alessia Cara, Mike Posner and Daya",Vic Theatre,85.1,74.95,2,10,Chicago,IL,NoResults,NoResults,NoResults,NoResults,32,,,,,,,
9534146,2016-06-09T09:29:00-0500,2016 CMA Fan Fair X 4 Day Pass,Music City Center Nashville,87.79,330,4,44,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,,,,,,
9534143,2016-06-10T09:30:00-0500,2016 CMA Fan Fair X Friday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,89,,,,,,,
9534144,2016-06-11T09:30:00-0500,2016 CMA Fan Fair X Saturday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,90,,,,,,,
9534145,2016-06-12T09:30:00-0500,2016 CMA Fan Fair X Sunday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,91,,,,,,,
9534142,2016-06-09T09:30:00-0500,2016 CMA Fan Fair X Thursday Only,Music City Center Nashville,64.25,65.95,3,38,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,,,,,,
9296869,2016-06-09T13:00:00-0500,2016 CMA Music Festival 4 Day Pass,Nissan Stadium Nashville,365.15,6449.99,404,1354,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,,,,,,
9508366,2016-05-21T18:55:00-0500,2016 Country Megaticket Gexa Energy Pavilion,Gexa Energy Pavilion,335.63,1249,9,58,Dallas,TX,NoResults,NoResults,NoResults,NoResults,69,,,,,,,
9537897,2016-03-18T20:00:00-0700,2016 John in the Morning at Night with the Dandy Warhols and more,Neumos,120.49,150,2,4,Seattle,WA,NoResults,NoResults,NoResults,NoResults,5,,,,,,,
9394142,2016-04-02T20:00:00-0500,2Cellos,Chicago Theatre,73.3,251,105,400,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,20,,,,,,,
9485387,2016-04-03T19:30:00-0500,2Cellos,Chicago Theatre,84.9,241.58,81,259,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,21,,,,,,,
9397983,2016-04-23T20:00:00-0600,2Cellos,Buell Theatre,209,349,5,17,Denver,CO,AXS,$35.00 ,0,4392693,41,61,16,3,0.617906436,0.464438,0.705579,5
9395359,2016-04-16T20:00:00-0700,2Cellos,Keller Auditorium,108.7,9999,15,46,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,34,,,,,,,
9394145,2016-04-17T19:00:00-0700,2Cellos,McCaw Hall,94.54,500,60,190,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,35,,,,,,,
9540533,2016-07-20T19:30:00-0400,311 with Matisyahu,Blue Hills Bank Pavilion,83.92,9000,61,183,Boston,MA,Live Nation,NoPriceClass,0,486064,129,,,,,,,
9537511,2016-07-22T18:30:00-0400,311 with Matisyahu,Festival Pier at Penns Landing,55.46,126,12,76,Philadelphia,PA,NoResults,NoResults,NoResults,NoResults,131,,,,,,,
9420620,2016-07-24T19:30:00-0400,5 Seconds of Summer,Lakewood Amphitheatre,34.36,850,188,914,Atlanta,GA,Live Nation,NoPriceClass,0,5642214,133,,,,,,,
9420647,2016-09-17T19:30:00-0500,5 Seconds of Summer,Gexa Energy Pavilion,38.6,2749,187,770,Dallas,TX,Live Nation,NoPriceClass,0,5642214,188,,,,,,,
9420633,2016-08-24T19:30:00-0600,5 Seconds of Summer,Pepsi Center,46.55,1225,137,652,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,5642214,164,,,,,,,
9420619,2016-07-23T19:30:00-0500,5 Seconds of Summer,Bridgestone Arena,54.48,3299,219,863,Nashville,TN,Ticketmaster,$26.25 ,0,5642214,132,1282,578,81,0.535857763,0.639639,0.801619,5
9420613,2016-07-15T19:30:00-0400,5 Seconds of Summer,Madison Square Garden,53.24,10000,501,1467,New York,NY,Ticketmaster,$29.95 ,0,5642214,124,1282,578,81,0.535857763,0.639639,0.801619,5
9537519,2016-05-29T19:00:00-0500,97.1 BFD 2016 featuring Shinedown,Gexa Energy Pavilion,39.08,785,57,277,Dallas,TX,NoResults,NoResults,NoResults,NoResults,77,,,,,,,
9428319,2016-03-19T17:00:00-0400,A Decade of Soul,B.B. King Blues Club & Grill,69.08,57,2,12,New York,NY,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9428321,2016-03-20T17:00:00-0400,A Decade of Soul,B.B. King Blues Club & Grill,69.08,57,2,12,New York,NY,NoResults,NoResults,NoResults,NoResults,7,,,,,,,
