venue_id,venue_name,venue_capacity,venue_postal_code,venue_city,venue_state_code,venue_latitude,venue_longitude,tm_api_status
KovZpZAF6FJA,Tropicana Showroom at Tropicana Atlantic City,,08401,Atlantic City,NJ,39.35258500,-74.44489300,Success
KovZpZAdt7AA,The Stone Pony,,07712,Asbury Park,NJ,40.22000100,-74.00071097,Success
KovZpZAdnEtA,The Wonder Bar,,07712,Asbury Park,NJ,40.22328639,-73.99950139,Success
KovZpZAatk1A,Stone Pony Summer Stage,,07712,Asbury Park,NJ,40.22000100,-74.00094700,Success
Z7r9jZaeyj,House of Independents,,07712,Asbury Park,NJ,40.249199000,-74.052101000,Success
KovZ917AxIJ,The Vogel at Count Basie Center for the Arts,,07701,Red Bank,NJ,40.34907100,-74.07022000,Success
KovZ917A8C7,Hackensack Meridian Health Theatre at the Count Basie Center ,,07701,Red Bank,NJ,40.34907100,-74.07022000,Success
KovZpZAEAIIA,PNC Bank Arts Center,,07733,Holmdel,NJ,40.41043400,-74.13773990,Success
KovZpZAIF7lA,Coney Island Amphitheater,,11224,Brooklyn,NY,40.57289100,-73.98754800,Success
ZFr9jZ7eF1,Starland Ballroom,,08872,Sayreville,NJ,40.461800000,-74.344902000,Success
KovZpZAJEa6A,Kings Theatre,,11226,Brooklyn,NY,40.64594300,-73.95727500,Success
Z7r9jZaeIL,Kings Theatre,,11226,Brooklyn,NY,40.646301000,-73.956398000,Success
KovZpZAE6eAA,Northwell at Jones Beach Theater,,11793,Wantagh,NY,40.60147550,-73.50236180,Success
Z7r9jZa7nj,Carteret Performing Arts and Events Center,,07008,Carteret,NJ,40.584999000,-74.229698000,Success
KovZpa4PZe,St. George Theatre,,10301,Staten Island,NY,40.64228390,-74.07748400,Success
KovZ917ARvk,The Bell House,,11215,Brooklyn,NY,40.67373000,-73.99156000,Success
ZFr9jZaF6k,Barclays Center,,11217,Brooklyn,NY,40.682499000,-73.979401000,Success
