artist_name,year,num_events,avg_ticket_price,unique_venues,unique_cities
103.5 Kiss FM's Jingle Ball,2025.0,1,29.305,1,1
12Eleven,2025.0,1,29.305,1,1
3OH!3,2025.0,1,29.305,1,1
42 Dugg,2025.0,1,62.05,1,1
49 Winchester,2025.0,2,19.545,1,1
7 Chinese Bros,2025.0,1,29.305,1,1
7th Heaven,2025.0,2,37.36,2,2
80's Live,2025.0,6,31.64,1,1
95.5 Jingle Ball Iheart Radio,2025.0,1,29.305,1,1
96.1 The Beat's Jingle Ball,2025.0,1,35.980000000000004,1,1
A Boogie Wit Da Hoodie,2025.0,2,35.980000000000004,1,1
A Carpenters Christmas,2025.0,1,,1,1
A Charlie Brown Christmas,2025.0,8,,6,6
A Charlie Brown Jazz Christmas,2025.0,1,41.175,1,1
A Family Christmas,2025.0,2,19.545,1,1
A Flock of Seagulls,2025.0,2,26.0775,2,2
A Great Big Pile of Leaves,2025.0,1,19.545,1,1
A John Waters Christmas,2025.0,1,19.545,1,1
A Merry-achi Christmas,2025.0,3,,2,2
A Peter White Christmas,2025.0,2,29.305,2,2
A Rocky Mountain Christmas,2025.0,1,,1,1
A Tribute to Barbra Streisand,2025.0,10,19.545,1,1
A. G. Cook,2025.0,1,31.64,1,1
AJR,2025.0,3,31.64,3,3
ARMNHMR,2025.0,2,29.747500000000002,2,2
ATLiens,2025.0,2,25.5925,2,2
AViVA,2025.0,1,11.55,1,1
Aaron Lewis,2025.0,6,17.19,6,6
Aaron Tippin,2025.0,1,17.19,1,1
Aaron West and the Roaring Twenties,2025.0,1,19.545,1,1
AbbaFab,2025.0,1,29.305,1,1
Acid Bath,2025.0,1,27.51,1,1
Acoustic Jam Lexington,2025.0,1,17.19,1,1
Acoustic Jam Louisville,2025.0,1,17.19,1,1
Adam Doleac,2025.0,3,17.975,3,3
Adam Ezra Group,2025.0,1,0.13,1,1
Adam Hawley,2025.0,1,41.175,1,1
Added Color,2025.0,1,29.305,1,1
Afro-Latin Jazz Orchestra,2025.0,2,19.545,1,1
Afroman,2025.0,1,35.980000000000004,1,1
Agent Orange,2025.0,1,375.92499999999995,1,1
Agnostic Front,2025.0,2,24.425,2,2
Aimee Mann,2025.0,5,24.895,4,4
Air Supply,2025.0,2,31.64,2,2
Aja,2025.0,1,,1,1
Alaska 5000,2025.0,2,93.5375,2,1
Alejandro Escovedo,2025.0,1,53.74,1,1
Algernon Cadwallader,2025.0,2,24.425,2,2
Alice Smith,2025.0,2,53.665,1,1
Alicia Villarreal,2025.0,1,,1,1
Alicia Witt,2025.0,1,50.489999999999995,1,1
Alison Wonderland,2025.0,1,19.545,1,1
All Out War,2025.0,1,31.155,1,1
All Them Witches,2025.0,4,18.64125,4,4
Allen Stone,2025.0,2,53.665,2,2
Allman Family Revival,2025.0,1,19.545,1,1
Almost Queen,2025.0,2,40.05,2,1
Amateur Night at The Apollo,2025.0,2,19.545,1,1
Ambrosia,2025.0,2,29.305,2,2
Amelia Day,2025.0,1,22.65,1,1
American Aquarium,2025.0,3,25.2,3,3
American Symphony Orchestra,2025.0,1,19.545,1,1
Ana Gasteyer,2025.0,2,0.0,1,1
Anders Osborne,2025.0,1,51.86,1,1
Andre Power,2025.0,1,24.895,1,1
Andrea Bocelli,2025.0,3,40.61,3,3
Andrea Von Kampen,2025.0,1,33.16,1,1
Andrew Bird,2025.0,5,22.85,1,1
Andrew Duhon,2025.0,1,34.41,1,1
Andy Bell,2025.0,4,29.305,2,2
Andy Frasco & the U.N.,2025.0,3,28.855,3,3
Angela Aguilar,2025.0,3,19.545,3,2
Anne Wilson,2025.0,2,54.915,2,2
Another Shade of Hate,2025.0,1,27.51,1,1
Anthony Gomes,2025.0,1,45.075,1,1
Anuhea,2025.0,8,59.36375,3,3
Apollo Music Cafe,2025.0,2,53.665,1,1
April Wine,2025.0,1,29.305,1,1
Ariana and the Rose,2025.0,1,19.545,1,1
Ariel Pink,2025.0,3,22.798333333333336,3,3
Ariel Posen,2025.0,3,28.593333333333334,3,3
Arlie,2025.0,1,29.305,1,1
Arturo O'Farrill,2025.0,8,39.96625,1,1
Asha Banks,2025.0,1,31.64,1,1
Ashes at Last,2025.0,1,27.51,1,1
Astro Zombies,2025.0,1,0.0,1,1
Aterciopelados,2025.0,9,111.7275,8,7
Atif Aslam,2025.0,1,37.2775,1,1
Atlanta Rhythm Section,2025.0,1,29.305,1,1
Atreyu,2025.0,2,28.4075,2,2
Audien,2025.0,1,63.95,1,1
Audrey Hobert,2025.0,1,31.64,1,1
Avatar,2025.0,1,27.51,1,1
Avery Anna,2025.0,2,17.19,2,2
Ax and the Hatchetmen,2025.0,1,19.545,1,1
Ayla Nereo,2025.0,1,19.545,1,1
BLXST,2025.0,2,19.545,1,1
BOLO THE DJ,2025.0,1,31.64,1,1
BSCBR,2025.0,1,29.305,1,1
Babehoven,2025.0,1,24.65,1,1
Back In Black,2025.0,1,45.17,1,1
Banda Machos,2025.0,2,,1,1
Bankrol Hayden,2025.0,1,35.980000000000004,1,1
Barrett,2025.0,1,0.13,1,1
Basstripper,2025.0,1,31.64,1,1
Be'la Dona,2025.0,1,53.665,1,1
Beach Floyd,2025.0,1,29.305,1,1
Bear Vs. Shark,2025.0,2,29.305,2,2
Bearly Dead,2025.0,1,,1,1
Beatles Vs. Stones,2025.0,1,,1,1
Beats Antique,2025.0,1,37.2775,1,1
Bebeshito,2025.0,1,,1,1
Bee Gees NOW,2025.0,1,29.305,1,1
Bellamy Brothers,2025.0,1,26.72,1,1
Belmont,2025.0,2,30.8475,2,2
Ben Barnes,2025.0,2,29.305,2,2
Ben Folds,2025.0,4,22.43875,3,2
Ben Portsmouth,2025.0,1,,1,1
Benjamin Grosvenor,2025.0,1,40.61,1,1
Berner,2025.0,1,35.980000000000004,1,1
Better Lovers,2025.0,1,66.58,1,1
Betty Jo,2025.0,1,29.305,1,1
Biffy Clyro,2025.0,1,45.26,1,1
Big Ass Truck,2025.0,1,29.305,1,1
Big Bad Voodoo Daddy,2025.0,2,29.305,2,2
Big Band Holidays,2025.0,1,19.545,1,1
Big Gigantic,2025.0,1,39.95,1,1
Big Sad 1900,2025.0,1,35.980000000000004,1,1
Big Sam's Funky Nation,2025.0,1,31.02,1,1
Big Sandy & His Fly-Rite Boys,2025.0,1,29.305,1,1
Big Something,2025.0,1,22.85,1,1
Billie Holiday Project,2025.0,2,22.5325,2,2
Billie Marten,2025.0,3,0.08666666666666667,3,3
Billy Gibbons,2025.0,3,29.304999999999996,1,1
Billy Joel,2025.0,1,29.305,1,1
Billy Strings,2025.0,3,17.19,3,3
Billy Walton,2025.0,1,25.52,1,1
Bimbo Summit,2025.0,1,31.64,1,1
Bingo Loco,2025.0,11,36.31045454545455,9,9
Black Jacket Symphony,2025.0,3,29.304999999999996,1,1
Black Polish,2025.0,1,29.305,1,1
Black Sabbath,2025.0,2,27.51,1,1
Black Stone Cherry,2025.0,3,33.663333333333334,3,3
Blackened,2025.0,1,18.99,1,1
Blade Rave,2025.0,1,31.64,1,1
Blake Tyler,2025.0,1,17.19,1,1
Blind Guardian,2025.0,1,27.51,1,1
Bliss,2025.0,1,25.94,1,1
Bloodkin,2025.0,1,19.545,1,1
Blue October,2025.0,2,29.305,2,2
Blue Oyster Cult,2025.0,2,29.305,2,2
Blues is Alright,2025.0,1,25.52,1,1
BoDeans,2025.0,1,29.305,1,1
Bob Marley Hope Road The Show,2025.0,58,28.84,1,1
Bob Schneider,2025.0,2,29.305,2,2
Body Electric,2025.0,1,18.75,1,1
Bone Thugs-N-Harmony,2025.0,2,35.980000000000004,2,2
Bones,2025.0,1,35.980000000000004,1,1
Boney James,2025.0,3,25.52,1,1
Boogie and the Yoyoz,2025.0,1,,1,1
Booker T. Jones,2025.0,1,53.665,1,1
Boombox Poets,2025.0,1,72.16499999999999,1,1
Bou,2025.0,1,31.64,1,1
Boys Of Fall,2025.0,1,26.49,1,1
Brad Williams,2025.0,2,19.545,1,1
Brandon Bennett's Elvis My Way,2025.0,1,,1,1
Brandy,2025.0,3,53.665,3,3
Brass Transit,2025.0,1,,1,1
Braxton Keith,2025.0,1,17.19,1,1
Breaking Sound LA,2025.0,1,29.305,1,1
Breakthru Entertainment,2025.0,1,29.305,1,1
Brendan Abernathy,2025.0,2,9.8375,2,1
Brett Eldredge,2025.0,5,17.661,4,3
Brian Culbertson,2025.0,4,0.0,1,1
Brian Kirk & the Jirks,2025.0,1,29.305,1,1
Bricks In the Wall,2025.0,1,,1,1
Broadway Rave,2025.0,1,31.64,1,1
Bruno Mars Las Vegas,2025.0,1,29.305,1,1
Bryce Crawford,2025.0,1,42.335,1,1
Buckethead,2025.0,1,29.305,1,1
Buddy,2025.0,2,28.17,1,1
Bulletboys,2025.0,1,430.0,1,1
Burna Boy,2025.0,3,35.980000000000004,3,3
Béla Fleck & the Flecktones,2025.0,5,31.581,5,4
CAKE,2025.0,2,29.305,2,2
Cameron Winter,2025.0,2,29.305,1,1
Camila,2025.0,1,29.305,1,1
Carbon Leaf,2025.0,5,25.432,2,2
Caroline Reilly,2025.0,1,29.305,1,1
Carpenters Legacy,2025.0,4,,1,1
Cash Money Millionaires,2025.0,2,35.980000000000004,2,2
Catalyst,2025.0,1,40.215,1,1
Catbite,2025.0,3,24.064999999999998,3,3
Catch 22,2025.0,1,29.305,1,1
Cattle Decapitation,2025.0,5,27.51,5,5
CeCe Winans,2025.0,2,26.8325,2,2
Cece Teneal,2025.0,1,25.52,1,1
Celtic Angels Ireland,2025.0,1,37.2775,1,1
Celtic Woman,2025.0,7,37.277499999999996,6,6
Celtic Woman Christmas Symphony,2025.0,1,37.2775,1,1
Chanticleer,2025.0,1,19.545,1,1
Charles Lloyd,2025.0,2,64.995,1,1
Charmaine Neville Band,2025.0,8,35.65,1,1
Chase Rice,2025.0,2,17.19,2,2
Chatham County Line,2025.0,1,17.19,1,1
Chelsea Cutler,2025.0,2,29.305,1,1
Chencha Berrinches,2025.0,1,42.985,1,1
Cheyenne Jackson,2025.0,1,53.665,1,1
Chibs,2025.0,1,29.95,1,1
Chicago Philharmonic Orchestra,2025.0,1,40.61,1,1
Chicago Symphony Orchestra,2025.0,10,40.61,2,1
Chimaira,2025.0,1,29.305,1,1
Chiodos,2025.0,8,29.305,7,6
Choir! Choir! Choir!,2025.0,1,29.305,1,1
Choral Arts Society of Washington,2025.0,1,19.545,1,1
Chris Barron,2025.0,1,43.75,1,1
Chris Botti,2025.0,47,175.96372340425532,2,2
Chris Cagle,2025.0,2,35.71,2,2
Chris Greene Quartet,2025.0,1,0.0,1,1
Chris Isaak,2025.0,7,25.61642857142857,7,7
Chris Lake,2025.0,1,19.545,1,1
Chris Mitchell,2025.0,1,19.545,1,1
Chris Pinnella,2025.0,2,29.305,1,1
Chris Renzema,2025.0,2,29.305,2,2
Chris Tomlin,2025.0,14,32.04392857142857,14,10
Chris Young,2025.0,3,17.19,3,3
Christian Nodal,2025.0,1,,1,1
Christmas,2025.0,2,42.335,1,1
Christmas Pops,2025.0,9,19.545,1,1
Christmas Show,2025.0,2,,1,1
Christmas with the Celts,2025.0,1,,1,1
Chuck Prophet,2025.0,2,19.545,1,1
Church Fire,2025.0,1,31.64,1,1
Cipha Sounds,2025.0,5,51.15,1,1
Clay Walker,2025.0,2,17.19,2,1
Clipse,2025.0,4,35.980000000000004,3,3
Club 90s,2025.0,3,31.64,2,2
Club Seating: Paramount Theatre,2025.0,8,19.545,1,1
Codefendants,2025.0,1,29.305,1,1
Cody Jinks,2025.0,2,17.19,1,1
Colorado Springs Philharmonic,2025.0,2,19.545,1,1
Colt Ford,2025.0,3,29.465000000000003,2,2
Congress the Band,2025.0,1,29.305,1,1
Cookie,2025.0,1,35.980000000000004,1,1
Corey Kent,2025.0,1,17.19,1,1
Cory Henry,2025.0,1,41.175,1,1
Couch,2025.0,1,29.305,1,1
Country Dance Party,2025.0,5,19.025,1,1
Coyote Theory,2025.0,1,19.9,1,1
Creed,2025.0,2,22.85,2,2
Creed Fisher,2025.0,2,17.19,2,2
CupcakKe,2025.0,1,48.61,1,1
Current Joys,2025.0,1,0.0,1,1
Currents,2025.0,1,19.545,1,1
Cursive,2025.0,4,24.46375,3,2
Curtis Salgado,2025.0,1,47.575,1,1
Cut Chemist,2025.0,2,41.175,1,1
Cyndi Lauper,2025.0,1,31.64,1,1
DAYBREAK - The Music & Passion of Barry Manilow,2025.0,1,31.64,1,1
DEHD,2025.0,1,46.47,1,1
DJ BMF,2025.0,3,0.0,1,1
DJ Diesel aka SHAQ,2025.0,1,31.64,1,1
DJ Isaac,2025.0,1,76.45,1,1
DJ Pauly D,2025.0,2,37.0025,2,2
DJ Snake,2025.0,1,31.64,1,1
DJ Sneak,2025.0,1,19.545,1,1
Dailey & Vincent,2025.0,1,17.19,1,1
Daily Bread,2025.0,2,19.545,2,2
Dallas Symphony Orchestra,2025.0,1,40.61,1,1
Damage Inc,2025.0,1,,1,1
Damiano David,2025.0,3,29.304999999999996,2,2
Damien Escobar,2025.0,1,41.175,1,1
Damn the Torpedoes - a Tribute To Tom Petty,2025.0,1,55.47,1,1
Damon Fowler,2025.0,1,25.52,1,1
Daniel Bonte & the Bona Fide,2025.0,1,17.19,1,1
Daniil Trifonov,2025.0,1,19.545,1,1
Danity Kane,2025.0,5,39.049,5,5
Danni Nicholls,2025.0,1,41.53,1,1
Danny Brown,2025.0,2,35.980000000000004,2,2
Dar Williams,2025.0,1,0.13,1,1
Darkest Hour,2025.0,1,27.51,1,1
Darlene Love,2025.0,2,29.305,2,2
Darude,2025.0,1,19.95,1,1
Dave Fenley,2025.0,1,17.19,1,1
Dave Gonzalez,2025.0,1,27.265,1,1
Dave Jordan,2025.0,1,70.625,1,1
Dave Koz,2025.0,4,33.3475,3,3
Dave Koz Christmas,2025.0,3,41.175,3,3
Dave Specter,2025.0,1,23.95,1,1
David Archuleta,2025.0,2,29.305,1,1
David Benoit,2025.0,3,64.75666666666666,2,2
David Cook,2025.0,1,191.075,1,1
David Foster,2025.0,2,24.425,2,2
Davy Knowles,2025.0,1,0.0,1,1
Dayseeker,2025.0,1,29.305,1,1
Deadlands,2025.0,1,20.0,1,1
Dean Johnson,2025.0,3,22.330000000000002,3,3
Dean Z,2025.0,2,,2,2
Death Angel,2025.0,4,27.51,3,3
Decibel Metal & Beer Fest,2025.0,1,27.51,1,1
Def Leppard,2025.0,1,29.305,1,1
Delvon Lamarr Organ Trio,2025.0,1,53.665,1,1
Demola,2025.0,2,53.665,1,1
Desert Daze,2025.0,1,31.64,1,1
Dessa,2025.0,1,33.52,1,1
Devon Gabriella,2025.0,1,31.64,1,1
Diamond Rio,2025.0,1,17.19,1,1
Dick Van Dyke,2025.0,1,0.0,1,1
Dickies Arena Suites,2025.0,6,30.439166666666665,1,1
Dijon,2025.0,3,53.665,2,2
Dillon Fence,2025.0,1,29.305,1,1
Dillon Francis,2025.0,1,29.95,1,1
Dirt Monkey,2025.0,1,19.545,1,1
Dirtwire,2025.0,1,19.545,1,1
Dirty Blanket,2025.0,1,24.95,1,1
Disobey,2025.0,1,35.980000000000004,1,1
Distant,2025.0,1,20.79,1,1
Doble R Entertainment,2025.0,1,,1,1
Dogpark,2025.0,1,29.305,1,1
Don McLean,2025.0,2,29.305,2,2
Donnie Iris,2025.0,1,29.305,1,1
Doublecamp,2025.0,3,30.113333333333333,3,3
Drake White,2025.0,2,40.364999999999995,2,2
Dressed To Kill,2025.0,1,15.75,1,1
Driftwood,2025.0,1,19.545,1,1
Drug Church,2025.0,2,24.425,2,1
Dueling Pianos,2025.0,2,19.545,1,1
Duprees,2025.0,1,29.305,1,1
Duskus,2025.0,1,24.95,1,1
Dustin Lynch,2025.0,1,17.19,1,1
Dying Wish,2025.0,1,29.305,1,1
Dylan Gossett,2025.0,1,17.19,1,1
E5C4P3,2025.0,1,19.545,1,1
E5C4P3 - The Journey Tribute,2025.0,1,,1,1
Earl Sweatshirt,2025.0,3,83.325,3,2
"Earth, Wind & Fire",2025.0,4,53.665,2,2
Echosmith,2025.0,1,60.215,1,1
Eilen Jewell,2025.0,1,0.13,1,1
Ekoh,2025.0,4,36.97125,4,4
El Gran Combo,2025.0,1,,1,1
Electric Avenue - The 80's MTV Experience,2025.0,1,,1,1
Electric Guest,2025.0,3,26.051666666666666,3,3
Electrik Seoul,2025.0,1,56.45,1,1
Elena Rose,2025.0,3,,3,3
Elf in Concert,2025.0,1,19.545,1,1
Eli Young Band,2025.0,1,17.19,1,1
Ella Mai,2025.0,2,53.665,2,2
Elrow,2025.0,2,19.545,1,1
Elton Dan & the Rocket Band,2025.0,2,,1,1
Emmanuel,2025.0,1,19.545,1,1
Emmet Cohen,2025.0,1,19.545,1,1
Emmylou Harris,2025.0,1,17.19,1,1
Emo Night Brooklyn,2025.0,2,29.305,2,2
