artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
1. FC Union Berlin vs RB Leipzig,1,34.275,0.1401381769336994,14.009999999999998,38.0,3.064,0.0,0.0,0.0,36.0,1. fc union berlin vs rb leipzig
"103.5 KISS FM's Jingle Ball with Jackson Wang, Renee Rapp, Teddy Swims and many more",1,38.68,0.1707027547294801,27.35,,6.844137931034483,0.0,0.0,0.0,120.0,"103.5 kiss fm's jingle ball with jackson wang, renee rapp, teddy swims and many more"
"11th Annual John Henry's Friends - Steve Earle, Brandi Carlile & More",1,164.655,0.1390236227342968,103.82,282.0,14.904827586206888,1.0,0.0,1.0,120.0,"11th annual john henry's friends - steve earle, brandi carlile & more"
85 South - Spin The Block Tour,1,107.61,0.2743984130215057,109.85,,35.79206896551723,0.0,1.0,1.0,120.0,85 south - spin the block tour
A Boogie Wit Da Hoodie,1,80.975,0.2309724362480951,69.14,246.0,12.627241379310345,1.0,1.0,1.0,120.0,a boogie wit da hoodie
A Drag Queen Christmas,1,56.895,0.1987686483775333,53.23,306.0,8.117931034482757,1.0,1.0,0.0,120.0,a drag queen christmas
AC/DC,2,94.5,0.3131005366528365,189.16,458.5,19.15379310344828,0.5,0.5,0.5,120.0,ac/dc
AEW Presents Dynamite,1,37.77,0.1470612736299121,19.58,211.0,3.5117241379310355,1.0,0.0,0.0,120.0,aew presents dynamite
AJR,3,67.27666666666666,0.1467975846858618,38.89000000000001,166.33333333333334,5.393199233716476,0.3333333333333333,0.3333333333333333,0.0,89.33333333333333,ajr
Acid Bath with High on Fire and Weedeater,1,94.3,0.0926796997444831,34.03,166.0,7.546551724137932,0.0,0.0,1.0,120.0,acid bath with high on fire and weedeater
Air Supply,1,87.855,0.2564636896505162,89.38,541.0,24.30241379310345,1.0,1.0,1.0,120.0,air supply
Ali Siddiq,2,54.18,0.15538733491029916,37.17,626.5,7.435862068965516,1.0,0.0,0.0,120.0,ali siddiq
All Them Witches,2,21.91,0.37531296968044053,26.055,35.5,3.7634482758620686,0.0,1.0,0.0,120.0,all them witches
Amy Grant,3,141.10833333333335,0.24776516209318053,138.43333333333334,102.0,28.621149425287356,0.0,0.6666666666666666,1.0,120.0,amy grant
Anaheim Ducks at New Jersey Devils,1,69.61,0.3857243718150345,124.82,,24.0196551724138,0.0,1.0,0.0,120.0,anaheim ducks at new jersey devils
Anaheim Ducks at New York Islanders,1,19.745,0.3374030239886997,29.96,,9.128275862068964,0.0,1.0,0.0,120.0,anaheim ducks at new york islanders
Anaheim Ducks at Pittsburgh Penguins,1,35.55,0.2267421243385968,39.98,,7.823448275862071,0.0,1.0,0.0,120.0,anaheim ducks at pittsburgh penguins
Andre Rieu,1,159.19,0.2292784826046368,149.73000000000002,194.0,32.647241379310344,0.0,1.0,1.0,120.0,andre rieu
Andrea Bocelli,2,184.4975,0.24570612577403717,191.84,387.0,42.314482758620684,0.5,1.0,1.0,120.0,andrea bocelli
Andrea Bocelli In Concert,1,121.105,0.3354770577015068,237.77000000000004,,32.85689655172415,0.0,1.0,1.0,120.0,andrea bocelli in concert
Andrew Bird,1,179.1,0.424170634666551,300.71000000000004,17.0,35.564827586206896,0.0,1.0,1.0,120.0,andrew bird
Andrew Peterson,1,81.75999999999999,0.0740806447387674,28.94,197.0,7.158275862068964,0.0,0.0,1.0,120.0,andrew peterson
Angela Aguilar,1,69.23,0.0347621548408719,6.200000000000003,193.0,2.0100000000000016,0.0,0.0,0.0,10.0,angela aguilar
Angela Aguilar - LIBRE CORAZON TOUR 2025,1,41.4,0.3015734056919981,38.1,294.0,15.815,1.0,1.0,0.0,30.0,angela aguilar - libre corazon tour 2025
Army Black Knights vs Navy Midshipmen Football,1,298.70500000000004,0.4580110747821627,605.8399999999999,,62.687931034482745,0.0,1.0,1.0,120.0,army black knights vs navy midshipmen football
Atlanta Falcons at Tampa Bay Buccaneers,1,62.27,0.1897454451281517,50.15,,14.78758620689655,0.0,0.0,0.0,120.0,atlanta falcons at tampa bay buccaneers
Atreyu,1,34.54,0.1390393724505458,18.61,71.0,2.243448275862069,0.0,0.0,0.0,120.0,atreyu
August Burns Red & The Amity Affliction: The Springs Horizons Tour,2,60.337500000000006,0.0817807625388989,11.934999999999995,57.0,4.881666666666666,0.0,0.0,0.0,7.0,august burns red & the amity affliction: the springs horizons tour
Austin FC at Inter Miami CF,1,118.46,0.1229731353984511,38.16999999999999,171.0,9.001999999999999,0.0,0.0,1.0,12.0,austin fc at inter miami cf
BERT KREISCHER: PERMISSION TO PARTY,1,57.94,0.111917978397572,29.000000000000007,,5.468275862068967,0.0,0.0,0.0,120.0,bert kreischer: permission to party
Babyface,1,91.03,0.1161838498907743,52.55,21.0,9.214137931034482,0.0,0.0,1.0,120.0,babyface
Bad Bunny,3,270.8366666666667,0.16230929938205146,177.9766666666667,349.3333333333333,45.73068965517242,1.0,0.0,1.0,120.0,bad bunny
Bailey Zimmerman,1,84.78999999999999,0.1304282350307609,28.429999999999996,,18.053999999999995,0.0,0.0,1.0,12.0,bailey zimmerman
Banda MS,1,45.175,0.1061594573025988,18.14,180.0,4.695172413793103,0.0,0.0,0.0,120.0,banda ms
Bayface,1,100.95,0.1087713818154725,48.120000000000005,338.0,13.631724137931034,1.0,0.0,1.0,120.0,bayface
Beauty And The Beast,1,54.145,0.2525823338429237,48.0,144.0,12.218620689655172,0.0,1.0,0.0,120.0,beauty and the beast
Bela Fleck,1,56.375,0.4483708385994474,77.97,,13.506363636363636,0.0,1.0,0.0,48.0,bela fleck
