artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
$uicideboy$,83.0,8957416.0,31.5,2,1.0,2.6243083333333335
'Ery Noice,25.0,11720.0,15.0,1,0.0,1.16985
(((()))),51.0,49519.0,23.0,1,0.0,2.474466666666667
*NSYNC,69.0,3088613.0,79.0,1,0.0,3.34
-,28.0,714.0,45.0,1,0.0,1.73345
009 Sound System,36.0,37357.0,34.5,2,0.0,5.62115
03 Greedo,61.0,548736.0,68.0,1,1.0,3.6639
2 Chainz,74.0,8304470.0,63.5,2,0.5,4.028883333333333
2 VIVE,31.0,1866.0,23.0,1,0.0,2.3423
2'Live Bre,32.0,3893.0,49.0,1,0.0,2.933333333333333
21 Savage,84.0,23799771.0,62.285714285714285,7,1.0,4.1390142857142855
24kGoldn,65.0,2285377.0,53.0,4,0.75,2.3861833333333333
2Pac,78.0,22549768.0,72.5,4,1.0,4.916379166666667
3 Doors Down,71.0,4907847.0,66.75,4,0.0,3.9441083333333333
3OH!3,61.0,1067391.0,0.0,1,0.0,3.3848833333333332
4 Non Blondes,65.0,699249.0,0.0,1,0.0,4.869366666666667
4batz,62.0,668950.0,66.5,2,1.0,2.875183333333333
4ourty8,29.0,6670.0,46.0,1,1.0,2.3362166666666666
5 Seconds of Summer,75.0,10246277.0,59.285714285714285,7,0.14285714285714285,3.2608285714285716
50 Cent,82.0,18851875.0,65.5,8,0.875,3.51105
7Horse,44.0,29307.0,0.0,1,0.0,3.6866666666666665
932sounds,31.0,23317.0,17.0,1,1.0,5.683333333333334
A Boogie Wit da Hoodie,77.0,8986062.0,74.66666666666667,3,1.0,2.666627777777778
A Great Big World,57.0,649992.0,70.0,1,0.0,3.8233333333333333
A Tribe Called Quest,64.0,2402371.0,65.0,1,0.0,3.768883333333333
A!MS,47.0,7045.0,49.5,2,0.5,2.4513833333333332
A$AP Ferg,68.0,4287336.0,66.5,2,1.0,3.810775
A$AP Rocky,82.0,17326256.0,73.85714285714286,7,1.0,3.590904761904762
A17N,27.0,893.0,21.0,1,0.0,2.4148666666666667
A2O,46.0,13590.0,35.0,4,0.0,3.3343791666666664
ABBA,79.0,14884765.0,73.0,6,0.0,4.250177777777778
AC/DC,80.0,32291922.0,84.66666666666667,3,0.0,4.204294444444444
AFRONOM,52.0,44492.0,0.0,1,0.0,2.6333333333333333
AGTHA,39.0,5582.0,52.0,1,0.0,2.534483333333333
AJ Mitchell,50.0,905982.0,8.0,1,0.0,2.9506833333333335
AJR,70.0,3667184.0,59.0,1,0.0,3.3526666666666665
AKI,45.0,754.0,48.0,1,0.0,2.058333333333333
ALEXSUCKS,45.0,35428.0,0.0,1,1.0,3.0807
ANOHNI,44.0,190329.0,30.0,1,0.0,3.0250666666666666
ASH7ON,7.0,308.0,18.0,1,1.0,2.9154666666666667
ATB,62.0,451208.0,72.0,1,0.0,2.5008666666666666
ATLXS,74.0,483247.0,84.0,1,0.0,1.9345333333333334
AURORA,72.0,4694955.0,37.5,22,0.0,3.8302613636363634
AWOLNATION,60.0,2060915.0,39.5,2,0.0,4.318291666666667
AZERDK,30.0,1655.0,31.5,2,0.5,4.062491666666666
Aakaash Rao,31.0,1438.0,29.0,1,0.0,2.6666666666666665
Aaliyah,64.0,5034992.0,50.0,1,0.0,4.427766666666667
Aaron Tippin,49.0,669005.0,47.0,2,0.0,2.9669999999999996
Aaryan Shah,58.0,343014.0,2.0,1,1.0,3.7096
Abeer Nehme,50.0,247771.0,38.0,1,0.0,3.8813333333333335
Adam Hicks,50.0,52929.0,58.5,2,0.0,3.378216666666667
Adam Lambert,57.0,1638163.0,61.0,1,0.0,3.788666666666667
Adam Levine,71.0,1063656.0,56.0,1,0.0,4.464216666666666
Adam Port,71.0,334659.0,82.0,1,0.0,2.959966666666667
Adam Skorupa,42.0,17017.0,36.666666666666664,3,0.0,3.247916666666667
