city,state_code,year,num_events,avg_ticket_price,unique_artists,market
 Covington,KY,2025.0,5,34.661,3,
Agoura Hills,CA,2025.0,5,26.106,5,
Akron,OH,2025.0,16,31.357083333333332,12,
Albany,GA,2025.0,1,53.665,1,
Albany,NY,2025.0,12,27.393333333333334,9,
Alexandria,VA,2025.0,18,39.104375,14,
Anaheim,CA,2025.0,22,29.514761904761908,22,
Anderson,IN,2025.0,1,29.305,0,
Ann Arbor,MI,2025.0,13,17.64076923076923,1,
Annapolis,MD,2025.0,20,22.12475,16,
Appleton,WI,2025.0,3,9.7725,3,
Asbury Park,NJ,2025.0,22,29.279285714285713,11,
Aspen,CO,2025.0,2,19.545,1,
Athens,GA,2025.0,4,14.69125,4,
Atlanta,GA,2025.0,97,28.88467741935484,84,Atlanta
Atlantic City,NJ,2025.0,4,31.64,0,
Aurora,CO,2025.0,12,29.468333333333334,0,
Aurora,IL,2025.0,4,42.825,1,
Bakersfield,CA,2025.0,5,14.818750000000001,3,
Baton Rouge,LA,2025.0,10,24.07,6,
Battle Creek,MI,2025.0,1,31.64,1,
Bay St Louis,MS,2025.0,1,29.305,0,
Belleville,MI,2025.0,6,24.685,1,
Bellflower,CA,2025.0,1,131.55,0,
Belmont Park,NY,2025.0,5,30.547000000000004,5,
Berkeley,CA,2025.0,3,33.755,2,
Berwyn,IL,2025.0,55,19.493796296296296,3,
Bethel,NY,2025.0,2,23.247500000000002,2,
Bethesda,MD,2025.0,2,44.822500000000005,2,
Beverly Hills,CA,2025.0,3,19.545,2,
Biloxi,MS,2025.0,5,27.445000000000004,5,
Binghamton,NY,2025.0,1,29.305,1,
Birmingham,AL,2025.0,48,16.65053191489362,17,
Bloomington,IN,2025.0,2,14.6525,2,
Bossier City,LA,2025.0,1,17.19,1,
Boulder,CO,2025.0,5,20.615000000000002,4,
Braidwood,IL,2025.0,1,33.4,0,
Branson,MO,2025.0,4,19.545,1,
Brea,CA,2025.0,2,61.77250000000001,1,
Bridgeport,CT,2025.0,2,35.980000000000004,1,
Brookfield,WI,2025.0,2,15.82,1,
Brooklyn,NY,2025.0,60,27.38921052631579,44,
Brooklyn ,NY,2025.0,15,55.70933333333333,0,
Brookville,NY,2025.0,2,40.8925,1,
Buffalo,NY,2025.0,12,39.757954545454545,6,
Cabazon,CA,2025.0,1,53.665,1,
Canton,OH,2025.0,2,29.305,1,
Carmel,IN,2025.0,2,24.185000000000002,2,
Carrboro,NC,2025.0,1,0.13,1,
Cary,NC,2025.0,1,77.16499999999999,0,
Catoosa,OK,2025.0,1,29.305,1,
Cerritos,CA,2025.0,9,31.631666666666664,6,
Charlotte,NC,2025.0,30,28.956944444444442,24,
Charlottesville,VA,2025.0,20,27.71275,13,
Chattanooga,TN,2025.0,12,45.38272727272727,9,
Cherokee,NC,2025.0,2,17.19,1,
Chicago,IL,2025.0,207,30.459756097560977,84,Chicago
Chico,CA,2025.0,1,54.46,1,
Cincinnati,OH,2025.0,35,32.296875,29,
Clearwater,FL,2025.0,3,26.830000000000002,3,
Cleveland,OH,2025.0,27,25.859807692307694,15,
Clifton,NJ,2025.0,10,28.121,5,
Colorado Springs,CO,2025.0,24,26.57166666666667,10,
Columbus,OH,2025.0,53,22.257735849056605,27,
Corona,CA,2025.0,1,27.51,1,
Cortland,NY,2025.0,2,18.745,0,
Covington ,KY,2025.0,6,20.115833333333335,2,
Dallas,TX,2025.0,57,24.28473214285714,40,Dallas
Danville,VA,2025.0,3,25.266666666666666,3,
Darien,IL,2025.0,5,38.446000000000005,0,
Dayton,OH,2025.0,3,29.304999999999996,2,
Deadwood,SD,2025.0,1,,1,
Denham Springs,LA,2025.0,2,75.7625,0,
Denver,CO,2025.0,103,24.9710396039604,63,
Destin,FL,2025.0,3,39.82666666666667,2,
Detroit,MI,2025.0,48,35.525625,39,
Dothan,AL,2025.0,1,29.305,1,
Downey,CA,2025.0,3,29.695000000000004,1,
Dubuque,IA,2025.0,3,25.266666666666666,3,
Duluth,GA,2025.0,4,33.26166666666666,3,
Durant,OK,2025.0,4,15.95375,4,
Durham,NC,2025.0,2,29.182499999999997,1,
East Lansing,MI,2025.0,1,0.0,1,
Elizabeth,NJ,2025.0,1,37.2775,1,
Elkhart,IN,2025.0,1,53.665,1,
Elmira,NY,2025.0,2,17.19,1,
Emporia,KS,2025.0,1,19.545,1,
Englewood,CO,2025.0,5,20.867,4,
Englewood,NJ,2025.0,7,30.423214285714288,7,
Evanston,IL,2025.0,28,20.020892857142858,13,
Fairfax,VA,2025.0,2,37.2775,2,
Fayetteville,AR,2025.0,1,29.305,1,
Fayetteville,NC,2025.0,1,25.52,1,
Felton,CA,2025.0,3,19.545,3,
Ferndale,MI,2025.0,13,27.753076923076925,3,
Flint,MI,2025.0,5,23.941,5,
Flushing,NY,2025.0,1,29.305,1,
Fontana,CA,2025.0,8,28.625,8,
Fort Collins,CO,2025.0,3,19.545,3,
Fort Smith,AR,2025.0,2,29.575000000000003,2,
Fort Wayne,IN,2025.0,4,25.891666666666666,3,
Fort Worth,TX,2025.0,24,26.015652173913043,17,
French Lick,IN,2025.0,1,17.19,1,
Frisco,TX,2025.0,1,37.2775,1,
Garden Grove,CA,2025.0,10,25.73611111111111,5,
Gary,IN,2025.0,2,23.247500000000002,2,
Glendale,CA,2025.0,4,35.34375,3,
Grain Valley,MO,2025.0,1,17.19,1,
Grand Island,NE,2025.0,2,23.247500000000002,2,
Grand Prairie,TX,2025.0,6,33.481249999999996,6,
Grand Rapids,MI,2025.0,29,22.323275862068964,11,
Grant,OK,2025.0,1,17.19,1,
Greensboro,NC,2025.0,2,36.9875,2,
Greenville,MS,2025.0,1,53.665,1,
Grove City,OH,2025.0,2,48.7625,1,
Gulfport,MS,2025.0,1,,1,
Hammond,IN,2025.0,4,35.980000000000004,2,
Hampton,VA,2025.0,1,41.175,1,
Hamtramck,MI,2025.0,16,23.033125000000002,4,
Hanover,MD,2025.0,1,22.85,1,
Hattiesburg,MS,2025.0,4,8.475,2,
Henderson,NV,2025.0,1,17.19,1,
Hesperia,CA,2025.0,1,32.685,1,
Hickory,NC,2025.0,3,268.78000000000003,0,
Highland,CA,2025.0,5,32.334500000000006,5,
Hobart,IN,2025.0,7,100.03,3,
Holland,MI,2025.0,1,31.64,1,
Holly,MI,2025.0,1,0.0,0,
Hollywood,CA,2025.0,28,44.661071428571425,16,
Huntington,NY,2025.0,5,33.85166666666667,4,
Huntington,WV,2025.0,1,0.13,1,
Huntsville,AL,2025.0,9,42.9,6,
Indianapolis,IN,2025.0,15,28.382333333333335,11,
Inglewood,CA,2025.0,2,38.5775,2,
Irving,TX,2025.0,4,44.822500000000005,4,
Island Lake,IL,2025.0,6,111.10416666666667,1,
Jackson,MS,2025.0,4,31.068749999999998,4,
Jacksonville,FL,2025.0,17,35.88859375,11,
Jersey City,NJ,2025.0,2,20.020000000000003,2,
Jim Thorpe,PA,2025.0,5,29.305,5,
Joliet,IL,2025.0,15,38.330000000000005,10,
Kansas City,MO,2025.0,22,28.112000000000002,14,
Kansas City ,MO,2025.0,1,65.885,1,
Kingston,NY,2025.0,2,28.9,2,
Lafayette,LA,2025.0,2,109.27250000000001,1,
Lake Tahoe,NV,2025.0,4,29.305,2,
Lakewood,OH,2025.0,27,15.667222222222222,1,
Lancaster,CA,2025.0,3,95.235,2,
Las Vegas,NV,2025.0,226,28.405273224043714,49,Las Vegas
Lawrence,KS,2025.0,1,,1,
Lawrenceburg,IN,2025.0,1,17.19,1,
Leesburg,VA,2025.0,11,37.3965,4,
Lemont,IL,2025.0,4,43.34,0,
Lexington,KY,2025.0,7,52.91571428571428,7,
Libertyville ,IL,2025.0,6,34.3225,1,
Lincoln,CA,2025.0,7,31.767142857142858,7,
Lincoln,NE,2025.0,11,36.46090909090909,6,
Little Rock,AR,2025.0,2,102.27,2,
