artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,lastfm_listeners,lastfm_playcount,plays_per_listener,lastfm_tag_1
$uicideboy$,83.0,8957416.0,31.5,2,1.0,2.624308333333333,1512388.0,435768604.0,288.1328098345133,cloud Rap
'Ery Noice,25.0,11720.0,15.0,1,0.0,1.16985,15423.0,54076.0,3.5061920508331714,Unknown
(((()))),51.0,49519.0,23.0,1,0.0,2.474466666666667,74607.0,363872.0,4.877183106142855,Unknown
*NSYNC,69.0,3088613.0,79.0,1,0.0,3.34,1962245.0,29477005.0,15.02208185012575,Pop
-,28.0,714.0,45.0,1,0.0,1.73345,110456.0,1090207.0,9.870056855218367,rock
009 Sound System,36.0,37357.0,34.5,2,0.0,5.62115,142649.0,1761109.0,12.345750758855653,Trance
03 Greedo,61.0,548736.0,68.0,1,1.0,3.6639,459845.0,9528172.0,20.72039926496972,Rap
2 Chainz,74.0,8304470.0,63.5,2,0.5,4.028883333333333,1404322.0,25969881.0,18.492825007370104,Hip-Hop
2 VIVE,31.0,1866.0,23.0,1,0.0,2.3423,11304.0,46511.0,4.114561217268224,Unknown
2'Live Bre,32.0,3893.0,49.0,1,0.0,2.933333333333333,4742.0,13271.0,2.798608182201603,Unknown
21 Savage,84.0,23799771.0,62.285714285714285,7,1.0,4.1390142857142855,2198610.0,206182331.0,93.77849232014772,tRap
24kGoldn,65.0,2285377.0,53.0,4,0.75,2.3861833333333333,1143068.0,22193572.0,19.415793286138708,Hip-Hop
2Pac,78.0,22549768.0,72.5,4,1.0,4.916379166666667,4019004.0,138603006.0,34.48690421806,Rap
3 Doors Down,71.0,4907847.0,66.75,4,0.0,3.944108333333333,3478797.0,87564501.0,25.17091425570392,alternative rock
3OH!3,61.0,1067391.0,0.0,1,0.0,3.384883333333333,1815115.0,52661704.0,29.012874666343453,Electronic
4 Non Blondes,65.0,699249.0,0.0,1,0.0,4.869366666666667,1329676.0,10531389.0,7.920267042497571,rock
4batz,62.0,668950.0,66.5,2,1.0,2.875183333333333,643218.0,13057518.0,20.300299431918884,RnB
4ourty8,29.0,6670.0,46.0,1,1.0,2.3362166666666666,7825.0,12764.0,1.6311821086261982,Unknown
5 Seconds of Summer,75.0,10246277.0,59.285714285714285,7,0.1428571428571428,3.260828571428572,2155056.0,193135643.0,89.61977925399619,Pop Punk
50 Cent,82.0,18851875.0,65.5,8,0.875,3.51105,4751349.0,111824282.0,23.535270088558008,Rap
7Horse,44.0,29307.0,0.0,1,0.0,3.6866666666666665,70326.0,476357.0,6.773554588630094,rock
932sounds,31.0,23317.0,17.0,1,1.0,5.683333333333334,81582.0,617355.0,7.567294256085901,Unknown
A Boogie Wit da Hoodie,77.0,8986062.0,74.66666666666667,3,1.0,2.666627777777778,1370404.0,94681038.0,69.08987276744668,Hip-Hop
A Great Big World,57.0,649992.0,70.0,1,0.0,3.823333333333333,821727.0,8260205.0,10.05224971310423,indie
A Tribe Called Quest,64.0,2402371.0,65.0,1,0.0,3.768883333333333,2403128.0,107018732.0,44.53309686375424,Hip-Hop
A!MS,47.0,7045.0,49.5,2,0.5,2.451383333333333,25386.0,53937.0,2.1246750177263056,hip hop
A$AP Ferg,68.0,4287336.0,66.5,2,1.0,3.810775,1565856.0,40449663.0,25.8323006713261,Hip-Hop
A$AP Rocky,82.0,17326256.0,73.85714285714286,7,1.0,3.590904761904762,3229944.0,318629261.0,98.64854034621034,Hip-Hop
A17N,27.0,893.0,21.0,1,0.0,2.4148666666666667,2645.0,7423.0,2.8064272211720227,Unknown
A2O,46.0,13590.0,35.0,4,0.0,3.3343791666666664,9777.0,73295.0,7.496675871944359,Unknown
ABBA,79.0,14884765.0,73.0,6,0.0,4.250177777777778,4199203.0,178384230.0,42.480496894291605,Pop
AC/DC,80.0,32291922.0,84.66666666666667,3,0.0,4.204294444444444,4422952.0,206704717.0,46.73456031175559,hard rock
AFRONOM,52.0,44492.0,0.0,1,0.0,2.6333333333333333,16799.0,110229.0,6.561640573843682,Unknown
AGTHA,39.0,5582.0,52.0,1,0.0,2.534483333333333,56228.0,281905.0,5.013605321192289,hyperPop
AJ Mitchell,50.0,905982.0,8.0,1,0.0,2.950683333333333,303549.0,3960368.0,13.046882051991606,teen Pop
AJR,70.0,3667184.0,59.0,1,0.0,3.3526666666666665,1184506.0,52036525.0,43.9309931735255,indie Pop
AKI,45.0,754.0,48.0,1,0.0,2.058333333333333,89820.0,1614176.0,17.971231351592074,japanese
