artist_name,artist_popularity,artist_followers,lastfm_listeners,lastfm_playcount,github_events_2016,github_avg_price,github_sellout_rate,num_years_active
5 Seconds of Summer,75.0,10246277.0,2155056.0,193135643.0,5.0,1835.023,0.0,5.0
A Great Big World,57.0,649992.0,821727.0,8260205.0,1.0,45.36,0.0,5.0
AC/DC,80.0,32291922.0,4422952.0,206704717.0,2.0,6063.535,0.0,43.0
AURORA,72.0,4694955.0,1730594.0,84442625.0,3.0,250.825,0.0,5.0
Adam Lambert,57.0,1638163.0,1233932.0,41259103.0,4.0,242.25875,0.0,7.0
Adele,83.0,66705650.0,5467041.0,308395975.0,35.0,15067.614285714286,0.0,10.0
Alex G,74.0,3541646.0,1951584.0,233740610.0,1.0,582.01,0.0,
America,70.0,2065190.0,2012269.0,36359242.0,1.0,246.09,0.0,
American Authors,62.0,1646684.0,1174910.0,13106496.0,2.0,65.435,0.0,10.0
Andy Grammer,65.0,1334256.0,894151.0,11753624.0,1.0,212.49,0.0,6.0
B.o.B,74.0,2265465.0,3057847.0,44690689.0,1.0,98.065,0.0,
BADBADNOTGOOD,62.0,879067.0,1114426.0,29974011.0,1.0,87.86,0.0,6.0
BANNERS,62.0,732382.0,735511.0,9864967.0,3.0,40.025,0.0,11.0
Beach House,72.0,2803036.0,3374247.0,232004922.0,9.0,838.7566666666667,0.0,12.0
Beyoncé,84.0,41172203.0,6217869.0,666507079.0,7.0,18671.63142857143,0.0,13.0
Billy Joel,78.0,7402824.0,3902853.0,120741085.0,13.0,2874.15,0.0,51.0
Black Lips,40.0,166440.0,652588.0,14382338.0,2.0,55.7725,0.0,17.0
Black Sabbath,75.0,9772591.0,4283801.0,202401187.0,2.0,3267.7,0.0,48.0
Bob Dylan,73.0,7364138.0,4187474.0,284983626.0,3.0,363.5916666666667,0.0,57.0
Bone Thugs-N-Harmony,64.0,3304029.0,1356453.0,20872098.0,1.0,56.14,0.0,24.0
Boston,65.0,3174703.0,2124282.0,29600890.0,1.0,330.875,0.0,
Brad Paisley,64.0,2898320.0,1105484.0,19051284.0,1.0,282.86,0.0,
Brantley Gilbert,63.0,3029394.0,302622.0,4678752.0,1.0,281.68,0.0,
Breaking Benjamin,71.0,5154748.0,2812601.0,130840116.0,1.0,147.89,0.0,
Bring Me The Horizon,77.0,6631275.0,2719230.0,304754560.0,2.0,185.1825,0.0,
Bryan Adams,75.0,4781161.0,2914503.0,51720364.0,3.0,358.08666666666664,0.0,40.0
Bryson Tiller,80.0,10564033.0,1615144.0,97072262.0,2.0,1473.5475,0.0,5.0
BØRNS,65.0,1373052.0,1658825.0,31143245.0,2.0,320.6075,0.0,6.0
CHVRCHES,60.0,1406762.0,1237027.0,68517123.0,9.0,459.0316666666666,0.0,5.0
Calvin Harris,84.0,23078238.0,4815145.0,195745825.0,1.0,526.26,0.0,14.0
Carlos Vives,72.0,6795970.0,610639.0,8071089.0,1.0,447.57,0.0,30.0
Carly Rae Jepsen,70.0,5139846.0,2886077.0,150521422.0,2.0,83.7625,0.0,9.0
Carrie Underwood,68.0,6125781.0,1795003.0,40766273.0,3.0,362.1933333333333,0.0,11.0
Charles Kelley,39.0,25472.0,21738.0,170163.0,3.0,98.525,0.0,
Charlie Puth,79.0,25301942.0,2299539.0,127936290.0,6.0,695.7408333333333,0.0,7.0
Chris Isaak,68.0,742237.0,1910715.0,29660833.0,1.0,181.09,0.0,
Chris Stapleton,81.0,9020741.0,818534.0,27366249.0,3.0,2742.7433333333333,0.0,16.0
Ciara,69.0,7333933.0,2708803.0,44419474.0,3.0,83.09166666666667,0.0,14.0
Clint Mansell,49.0,175372.0,1080393.0,32054599.0,1.0,100.195,0.0,35.0
Coldplay,88.0,60804949.0,8872136.0,758437531.0,3.0,10466.248333333331,0.0,20.0
Coolio,68.0,1887219.0,2042520.0,16760392.0,1.0,44.84,0.0,
Cyndi Lauper,70.0,3279441.0,2903574.0,36728855.0,5.0,292.723,0.0,36.0
Cypress Hill,65.0,2379861.0,2241274.0,53232871.0,2.0,117.3275,0.0,
DJ Snake,77.0,9277034.0,2432784.0,44818979.0,3.0,134.55666666666667,0.0,7.0
DMX,69.0,5927812.0,2284848.0,33057836.0,1.0,96.015,0.0,28.0
DNCE,66.0,4592239.0,1471979.0,18658231.0,1.0,104.8,0.0,
Darius Rucker,66.0,2773747.0,730474.0,8711314.0,2.0,343.5825,0.0,
