year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth,dma_static_strength,annual_sales_avg,avg_ticket_price_dma,annual_sales_current,strength_vs_avg,price_premium_vs_dma,sales_momentum
2022,47,Albany-Schenectady-Troy,6758751,121687,55.54,0.0,36,60,187743.0833333333,3380.1944444444443,,,,,,,,,,151.0,51.75,62.115,53.0,0.9515766293398304,0.8941479513805038,1.0241545893719808
2023,49,Albany-Schenectady-Troy,23249640,379386,61.28,0.1,181,59,128451.0497237569,2096.0552486187844,,,,6758751.0,121687.0,55.54,36.0,2.4399314311179685,2.1177200522652377,151.0,51.75,62.115,53.0,0.9515766293398304,0.9865571923045963,1.0241545893719808
2024,53,Albany-Schenectady-Troy,30441052,459187,66.29,0.08,137,59,222197.4598540146,3351.7299270072995,,,,23249640.0,379386.0,61.28,181.0,0.3093128323707377,0.2103425007775721,151.0,51.75,62.115,53.0,0.9515766293398304,1.0672140384770186,1.0241545893719808
2025,48,Albany-Schenectady-Troy,43907952,671923,65.35,-0.014,162,62,271036.7407407408,4147.672839506173,,,,30441052.0,459187.0,66.29,137.0,0.4423927267691012,0.463288377066424,151.0,51.75,62.115,53.0,0.9515766293398304,1.0520808178378813,1.0241545893719808
2022,62,Albuquerque,4872886,103599,47.04,0.0,26,48,187418.6923076923,3984.576923076923,,,,,,,,,,,,,,,,
2023,85,Albuquerque,8261222,156324,52.85,0.12,114,48,72466.85964912281,1371.2631578947369,,,,4872886.0,103599.0,47.04,26.0,0.6953448120887704,0.5089334839139374,,,,,,,
2024,75,Albuquerque,14446750,259726,55.62,0.05,158,49,91435.12658227848,1643.8354430379748,,,,8261222.0,156324.0,52.85,114.0,0.748742498385832,0.6614595327652824,,,,,,,
2025,73,Albuquerque-Santa Fe,14762446,247184,59.72,0.074,144,48,102516.98611111112,1716.5555555555557,,,,,,,,,,163.0,28.0,59.72,28.0,1.0271986131284263,1.0,1.0
2022,6,Atlanta,76176409,755776,100.79,0.0,268,7,284240.33208955225,2820.059701492537,,,,,,,,,,203.25,92.5,94.8725,92.0,1.2808473504193412,1.0623731850641651,0.9945945945945946
2023,11,Atlanta,170879598,2088706,81.81,-0.19,748,10,228448.66042780748,2792.3877005347595,,,,76176409.0,755776.0,100.79,268.0,1.2432088916136754,1.763657485815903,203.25,92.5,94.8725,92.0,1.2808473504193412,0.8623152125220691,0.9945945945945946
2024,8,Atlanta,282184056,2778151,101.57,0.24,974,7,289716.6899383984,2852.311088295688,,,,170879598.0,2088706.0,81.81,748.0,0.6513618904932115,0.3300823572106366,203.25,92.5,94.8725,92.0,1.2808473504193412,1.0705947455795937,0.9945945945945946
2025,9,Atlanta,245761461,2578327,95.32,-0.062,1042,7,235855.52879078692,2474.402111324376,97.0,28.88467741935484,84.0,282184056.0,2778151.0,101.57,974.0,-0.1290738942387305,-0.0719269758915192,203.25,92.5,94.8725,92.0,1.2808473504193412,1.004716856834172,0.9945945945945946
2022,36,Austin,13657813,242007,56.44,0.0,99,38,137957.70707070708,2444.5151515151515,,,,,,,,,,174.5,76.25,93.24,83.0,1.0996696809258306,0.6053196053196054,1.0885245901639344
2023,22,Austin,91534306,785333,116.55,1.07,199,39,459971.38693467336,3946.396984924623,,,,13657813.0,242007.0,56.44,99.0,5.701973881177023,2.245083819889507,174.5,76.25,93.24,83.0,1.0996696809258306,1.25,1.0885245901639344
2024,23,Austin,105878671,1098719,96.37,-0.17,271,35,390696.20295202953,4054.3136531365312,,,,91534306.0,785333.0,116.55,199.0,0.1567102611779238,0.3990485564722226,174.5,76.25,93.24,83.0,1.0996696809258306,1.0335692835692836,1.0885245901639344
2025,18,Austin,138160326,1333626,103.6,0.075,325,34,425108.6953846154,4103.464615384615,,,,105878671.0,1098719.0,96.37,271.0,0.3048928995340336,0.2138007989303907,174.5,76.25,93.24,83.0,1.0996696809258306,1.1111111111111112,1.0885245901639344
2022,86,Bakersfield,2236762,35150,63.63,0.0,11,125,203342.0,3195.454545454545,,,,,,,,,,86.25,13.0,70.1575,8.0,0.5435330084805323,0.9069593414816663,0.6153846153846154
