artist_name,year,num_events,avg_ticket_price,unique_venues,unique_cities,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,events_per_venue,num_events_lag1,avg_ticket_price_lag1
103.5 Kiss FM's Jingle Ball,2025.0,1,29.305,1,1,,,,,,,1.0,,
12Eleven,2025.0,1,29.305,1,1,,,,,,,1.0,,
3OH!3,2025.0,1,29.305,1,1,61.0,1067391.0,0.0,1.0,0.0,3.3848833333333332,1.0,,
42 Dugg,2025.0,1,62.05,1,1,,,,,,,1.0,,
49 Winchester,2025.0,2,19.545,1,1,,,,,,,2.0,,
7 Chinese Bros,2025.0,1,29.305,1,1,,,,,,,1.0,,
7th Heaven,2025.0,2,37.36,2,2,,,,,,,1.0,,
80's Live,2025.0,6,31.64,1,1,,,,,,,6.0,,
95.5 Jingle Ball Iheart Radio,2025.0,1,29.305,1,1,,,,,,,1.0,,
96.1 The Beat's Jingle Ball,2025.0,1,35.980000000000004,1,1,,,,,,,1.0,,
A Boogie Wit Da Hoodie,2025.0,2,35.980000000000004,1,1,,,,,,,2.0,,
A Carpenters Christmas,2025.0,1,,1,1,,,,,,,1.0,,
A Charlie Brown Christmas,2025.0,8,,6,6,,,,,,,1.3333333333333333,,
A Charlie Brown Jazz Christmas,2025.0,1,41.175,1,1,,,,,,,1.0,,
A Family Christmas,2025.0,2,19.545,1,1,,,,,,,2.0,,
A Flock of Seagulls,2025.0,2,26.0775,2,2,,,,,,,1.0,,
A Great Big Pile of Leaves,2025.0,1,19.545,1,1,,,,,,,1.0,,
A John Waters Christmas,2025.0,1,19.545,1,1,,,,,,,1.0,,
A Merry-achi Christmas,2025.0,3,,2,2,,,,,,,1.5,,
A Peter White Christmas,2025.0,2,29.305,2,2,,,,,,,1.0,,
A Rocky Mountain Christmas,2025.0,1,,1,1,,,,,,,1.0,,
A Tribute to Barbra Streisand,2025.0,10,19.545,1,1,,,,,,,10.0,,
A. G. Cook,2025.0,1,31.64,1,1,,,,,,,1.0,,
AJR,2025.0,3,31.64,3,3,70.0,3667184.0,59.0,1.0,0.0,3.3526666666666665,1.0,,
ARMNHMR,2025.0,2,29.747500000000002,2,2,,,,,,,1.0,,
ATLiens,2025.0,2,25.5925,2,2,,,,,,,1.0,,
AViVA,2025.0,1,11.55,1,1,,,,,,,1.0,,
Aaron Lewis,2025.0,6,17.19,6,6,,,,,,,1.0,,
Aaron Tippin,2025.0,1,17.19,1,1,49.0,669005.0,47.0,2.0,0.0,2.9669999999999996,1.0,,
Aaron West and the Roaring Twenties,2025.0,1,19.545,1,1,,,,,,,1.0,,
AbbaFab,2025.0,1,29.305,1,1,,,,,,,1.0,,
Acid Bath,2025.0,1,27.51,1,1,,,,,,,1.0,,
Acoustic Jam Lexington,2025.0,1,17.19,1,1,,,,,,,1.0,,
Acoustic Jam Louisville,2025.0,1,17.19,1,1,,,,,,,1.0,,
Adam Doleac,2025.0,3,17.975,3,3,,,,,,,1.0,,
Adam Ezra Group,2025.0,1,0.13,1,1,,,,,,,1.0,,
Adam Hawley,2025.0,1,41.175,1,1,,,,,,,1.0,,
