year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth
2022,47,Albany-Schenectady-Troy,6758751,121687,55.54,0.0,36,60,187743.08333333334,3380.1944444444443,,,,,,,,,
2023,49,Albany-Schenectady-Troy,23249640,379386,61.28,0.1,181,59,128451.0497237569,2096.0552486187844,,,,6758751.0,121687.0,55.54,36.0,2.4399314311179685,2.1177200522652377
2024,53,Albany-Schenectady-Troy,30441052,459187,66.29,0.08,137,59,222197.4598540146,3351.7299270072995,,,,23249640.0,379386.0,61.28,181.0,0.3093128323707377,0.2103425007775721
2025,48,Albany-Schenectady-Troy,43907952,671923,65.35,-0.014,162,62,271036.74074074073,4147.672839506173,,,,30441052.0,459187.0,66.29,137.0,0.44239272676910124,0.463288377066424
2022,62,Albuquerque,4872886,103599,47.04,0.0,26,48,187418.6923076923,3984.576923076923,,,,,,,,,
2023,85,Albuquerque,8261222,156324,52.85,0.12,114,48,72466.85964912281,1371.2631578947369,,,,4872886.0,103599.0,47.04,26.0,0.6953448120887704,0.5089334839139374
2024,75,Albuquerque,14446750,259726,55.62,0.05,158,49,91435.12658227848,1643.8354430379748,,,,8261222.0,156324.0,52.85,114.0,0.748742498385832,0.6614595327652824
2025,73,Albuquerque-Santa Fe,14762446,247184,59.72,0.074,144,48,102516.98611111111,1716.5555555555557,,,,,,,,,
2022,6,Atlanta,76176409,755776,100.79,0.0,268,7,284240.33208955225,2820.0597014925374,,,,,,,,,
2023,11,Atlanta,170879598,2088706,81.81,-0.19,748,10,228448.66042780748,2792.3877005347595,,,,76176409.0,755776.0,100.79,268.0,1.2432088916136754,1.7636574858159033
2024,8,Atlanta,282184056,2778151,101.57,0.24,974,7,289716.68993839837,2852.311088295688,,,,170879598.0,2088706.0,81.81,748.0,0.6513618904932115,0.3300823572106366
2025,9,Atlanta,245761461,2578327,95.32,-0.062,1042,7,235855.52879078695,2474.402111324376,97.0,28.88467741935484,84.0,282184056.0,2778151.0,101.57,974.0,-0.1290738942387305,-0.0719269758915192
2022,36,Austin,13657813,242007,56.44,0.0,99,38,137957.70707070708,2444.5151515151515,,,,,,,,,
2023,22,Austin,91534306,785333,116.55,1.07,199,39,459971.38693467336,3946.396984924623,,,,13657813.0,242007.0,56.44,99.0,5.701973881177023,2.245083819889507
2024,23,Austin,105878671,1098719,96.37,-0.17,271,35,390696.20295202953,4054.3136531365312,,,,91534306.0,785333.0,116.55,199.0,0.15671026117792386,0.3990485564722226
2025,18,Austin,138160326,1333626,103.6,0.075,325,34,425108.6953846154,4103.464615384615,,,,105878671.0,1098719.0,96.37,271.0,0.30489289953403365,0.21380079893039072
2022,86,Bakersfield,2236762,35150,63.63,0.0,11,125,203342.0,3195.4545454545455,,,,,,,,,
2023,97,Bakersfield,6738941,116620,57.79,-0.09,48,126,140394.60416666666,2429.5833333333335,,,,2236762.0,35150.0,63.63,11.0,2.0128109293702234,2.3177809388335704
2024,76,Bakersfield,13999063,168268,83.2,0.44,52,123,269212.75,3235.923076923077,,,,6738941.0,116620.0,57.79,48.0,1.0773387094500455,0.44287429257417243
2025,93,Bakersfield,8646804,113766,76.01,-0.086,50,125,172936.08,2275.32,,,,13999063.0,168268.0,83.2,52.0,-0.3823298030732486,-0.3238999690969169
2022,70,Baltimore,3653571,49278,74.14,0.0,24,28,152232.125,2053.25,,,,,,,,,
2023,36,Baltimore,42647125,504975,84.45,0.14,104,26,410068.5096153846,4855.528846153846,,,,3653571.0,49278.0,74.14,24.0,10.672723754376198,9.247473517594058
2024,36,Baltimore,51884309,509133,101.91,0.21,126,28,411780.2301587302,4040.7380952380954,,,,42647125.0,504975.0,84.45,104.0,0.2165957025239098,0.008234070993613507
2025,33,Baltimore,69349259,764690,90.69,-0.11,162,29,428081.84567901236,4720.308641975309,,,,51884309.0,509133.0,101.91,126.0,0.33661332947500555,0.5019454641518031
2022,96,Bangor,1618834,23983,67.5,0.0,3,155,539611.3333333334,7994.333333333333,,,,,,,,,
2025,92,Bangor,8655072,102062,84.8,0.185,12,156,721256.0,8505.166666666666,,,,1618834.0,23983.0,67.5,3.0,4.346485186251339,3.255597715048159
2022,91,Baton Rouge,2002858,29995,66.77,0.0,13,94,154066.0,2307.3076923076924,,,,,,,,,
2022,77,Bend,3155285,43681,72.23,0.0,10,184,315528.5,4368.1,,,,,,,,,
2022,90,Billings-Hardin,2087669,39666,52.63,0.0,42,167,49706.40476190476,944.4285714285714,,,,,,,,,
2025,95,Biloxi-Gulfport,8017556,99475,80.6,-0.064,43,158,186454.7906976744,2313.3720930232557,,,,,,,,,
2023,91,Biloxi-Gulfport-Pascagoula,7501476,102729,73.02,-0.05,55,160,136390.47272727272,1867.8,,,,,,,,,
2024,100,Biloxi-Gulfport-Pascagoula,6803300,79021,86.09,0.18,43,157,158216.27906976745,1837.6976744186047,,,,7501476.0,102729.0,73.02,55.0,-0.09307181679978715,-0.23078196030332232
2022,49,Birmingham,6512182,79847,81.56,0.0,33,45,197338.84848484848,2419.6060606060605,,,,,,,,,
2023,75,Birmingham,11798574,191671,61.56,-0.25,59,45,199975.83050847458,3248.6610169491523,,,,6512182.0,79847.0,81.56,33.0,0.8117696956258287,1.4004784149686276
2024,47,Birmingham,33559557,439981,76.28,0.24,170,45,197409.1588235294,2588.1235294117646,,,,11798574.0,191671.0,61.56,59.0,1.8443739896024725,1.2955011451915
2025,49,Birmingham (Anniston and Tuscaloosa),42987158,570585,75.34,-0.012,201,45,213866.45771144278,2838.731343283582,,,,,,,,,
2022,80,Boise,2851884,54764,52.08,0.0,40,101,71297.1,1369.1,,,,,,,,,
2023,45,Boise,26877242,409406,65.65,0.26,287,106,93648.9268292683,1426.5017421602788,,,,2851884.0,54764.0,52.08,40.0,8.424381216066292,6.475823533708276
2024,57,Boise,24878598,387936,64.13,-0.02,266,98,93528.56390977444,1458.406015037594,,,,26877242.0,409406.0,65.65,287.0,-0.07436194532162188,-0.05244183035910566
2025,65,Boise,19804628,328283,60.33,-0.059,258,98,76762.12403100776,1272.4147286821706,,,,24878598.0,387936.0,64.13,266.0,-0.20394919360005737,-0.15377020951909592
2022,22,Boston,29270754,455608,64.25,0.0,299,10,97895.4983277592,1523.772575250836,,,,,,,,,
2023,6,Boston,241196035,3007936,80.19,0.25,1756,9,137355.37300683372,1712.9476082004555,,,,29270754.0,455608.0,64.25,299.0,7.240171571938324,5.602026303313375
2024,5,Boston,346992352,3881422,89.4,0.11,1843,8,188275.82854042322,2106.0347259902333,,,,241196035.0,3007936.0,80.19,1756.0,0.4386320736988898,0.29039381157045896
2025,4,Boston (Manchester),400876049,4408122,90.94,0.017,2333,9,171828.5679382769,1889.4650664380626,,,,,,,,,
2022,37,Buffalo,12890110,188629,68.34,0.0,52,53,247886.73076923078,3627.480769230769,,,,,,,,,
2023,53,Buffalo,21013004,279843,75.09,0.1,99,53,212252.56565656565,2826.6969696969695,,,,12890110.0,188629.0,68.34,52.0,0.6301648317974013,0.483562972819662
2024,70,Buffalo,18052665,310481,58.14,-0.23,84,54,214912.67857142858,3696.2023809523807,,,,21013004.0,279843.0,75.09,99.0,-0.14088128475109984,0.10948281715104535
2025,42,Buffalo,51506530,597194,86.25,0.483,119,54,432827.9831932773,5018.436974789916,,,,18052665.0,310481.0,58.14,84.0,1.853126117390424,0.923447811621323
2022,72,Cedar Rapids-Waterloo,3446740,71868,47.96,0.0,64,92,53855.3125,1122.9375,,,,,,,,,
2023,81,Cedar Rapids-Waterloo,9379715,189316,49.55,0.03,141,90,66522.80141843972,1342.6666666666667,,,,3446740.0,71868.0,47.96,64.0,1.7213294301281792,1.634218289085546
2024,97,Cedar Rapids-Waterloo,7289165,134555,54.17,0.09,93,93,78378.1182795699,1446.8279569892472,,,,9379715.0,189316.0,49.55,141.0,-0.22287990626580867,-0.289257115088001
2025,88,Cedar Rapids-Waterloo-Iowa City & Dubuque,8894574,165396,53.78,-0.007,91,94,97742.57142857143,1817.5384615384614,,,,,,,,,
2022,68,Charleston,3821017,58268,65.58,0.0,40,89,95525.425,1456.7,,,,,,,,,
2023,48,Charleston,24682314,339947,72.61,0.11,184,94,134143.01086956522,1847.5380434782608,,,,3821017.0,58268.0,65.58,40.0,5.4596189967226,4.834197157959772
2024,61,"Charleston, SC",23279066,344799,67.51,-0.07,201,88,115816.2487562189,1715.4179104477612,,,,,,,,,
2025,69,"Charleston, SC",17085281,271803,62.86,-0.069,211,85,80972.89573459716,1288.1658767772512,,,,23279066.0,344799.0,67.51,201.0,-0.266066731371439,-0.2117059504232901
2022,92,Charleston-Huntington,1892492,29505,64.14,0.0,11,75,172044.72727272726,2682.2727272727275,,,,,,,,,
2023,89,Charleston-Huntington,7652578,122872,62.28,-0.03,59,70,129704.71186440678,2082.576271186441,,,,1892492.0,29505.0,64.14,11.0,3.0436514394776832,3.1644467039484834
2024,98,Charleston-Huntington,6809841,96220,70.77,0.14,42,79,162139.07142857142,2290.9523809523807,,,,7652578.0,122872.0,62.28,59.0,-0.11012458807999082,-0.21690865290709027
2025,80,Charleston-Huntington,11388299,218177,52.2,-0.262,71,82,160398.57746478874,3072.9154929577467,,,,6809841.0,96220.0,70.77,42.0,0.6723296476378817,1.2674807732280193
2022,20,Charlotte,33760402,412841,81.78,0.0,129,22,261708.5426356589,3200.3178294573645,,,,,,,,,
2023,21,Charlotte,92862231,1041088,89.2,0.09,423,22,219532.4609929078,2461.2009456264777,,,,33760402.0,412841.0,81.78,129.0,1.7506257478806089,1.521765037871723
2024,19,Charlotte,140593778,1665715,84.4,-0.05,628,21,223875.44267515923,2652.4124203821657,,,,92862231.0,1041088.0,89.2,423.0,0.5140038795751094,0.599975218233233
2025,23,Charlotte,112986221,1216064,92.91,0.101,589,21,191827.20033955856,2064.6247877758915,,,,140593778.0,1665715.0,84.4,628.0,-0.19636400268011855,-0.2699447384456525
2024,94,Charlottesville,8681892,99618,87.15,0.67,12,177,723491.0,8301.5,,,,,,,,,
2023,98,Chattanooga,6607820,102561,64.43,0.44,83,89,79612.2891566265,1235.6746987951808,,,,,,,,,
2025,100,Chattanooga,6010590,101433,59.26,-0.19,92,86,65332.5,1102.5326086956522,,,,6607820.0,102561.0,64.43,83.0,-0.09038230460272834,-0.010998332699564184
2022,5,Chicago,86042731,1068037,80.56,0.0,458,3,187866.2248908297,2331.9585152838426,,,,,,,,,
2023,4,Chicago,295681068,3291100,89.84,0.12,1207,3,244971.88732394367,2726.677713338857,,,,86042731.0,1068037.0,80.56,458.0,2.436444480126973,2.081447552846952
2024,4,Chicago,367388152,4010328,91.61,0.02,1383,3,265645.80766449746,2899.7310195227765,,,,295681068.0,3291100.0,89.84,1207.0,0.24251496548301166,0.21853726717510868
2025,5,Chicago,399947094,4226636,94.63,0.033,1620,3,246880.92222222223,2609.0345679012344,207.0,30.459756097560977,84.0,367388152.0,4010328.0,91.61,1383.0,0.08862273272220267,0.05393773277397762
2022,38,Cincinnati,11488279,206293,55.69,0.0,87,36,132049.183908046,2371.183908045977,,,,,,,,,
2023,47,Cincinnati,24865505,410073,60.64,0.09,183,36,135877.07650273223,2240.8360655737706,,,,11488279.0,206293.0,55.69,87.0,1.1644238445114365,0.9878182972762042
2024,40,Cincinnati,42953265,624229,68.81,0.13,325,36,132163.8923076923,1920.7046153846154,,,,24865505.0,410073.0,60.64,183.0,0.7274237945298114,0.5222387233492574
