city,phq_events,phq_total_attendance,phq_avg_rank
[-100.01743,1,421.0,42.0
[-100.0302,1,163.0,34.0
[-100.033165,1,259.0,38.0
[-100.062763,2,5408.0,58.0
[-100.15298,1,100.0,30.0
[-100.18241,1,851.0,49.0
[-100.20312,1,315.0,40.0
[-100.23992,1,1029.0,50.0
[-100.33849,1,100.0,30.0
[-100.35313   44.3638 ],1,497.0,44.0
[-100.39718,1,100.0,30.0
[-100.4049,1,232.0,37.0
[-100.41173,1,514.0,44.0
[-100.418405,1,2000.0,56.0
[-100.42003,1,535.0,45.0
[-100.42582,2,1049.0,44.0
[-100.430939,1,15000.0,74.0
[-100.43496,1,202.0,36.0
[-100.43504,1,337.0,41.0
[-100.43664,1,699.0,47.0
[-100.43703,1,100.0,30.0
[-100.4388658,1,354.0,41.0
[-100.43978   31.46489],1,204.0,36.0
[-100.4555857,1,169.0,35.0
[-100.45808,2,200.0,30.0
[-100.45818,1,211.0,36.0
[-100.45952,1,325.0,40.0
[-100.4597651,1,576.0,45.0
[-100.461417,1,1500.0,54.0
[-100.46177,1,100.0,30.0
[-100.4629709,1,156.0,34.0
[-100.46564,1,510.0,44.0
[-100.4886601,1,212.0,37.0
[-100.50359,1,708.0,47.0
[-100.5080343,1,112.0,31.0
[-100.5080479,1,81.0,28.0
[-100.51129,1,691.0,47.0
[-100.5195,1,100.0,30.0
[-100.616,2,320.0,34.0
[-100.616    46.7287],1,160.0,34.0
[-100.6377126,1,1165.0,51.0
[-100.75921807397056,1,25000.0,78.0
[-100.76015   41.14027],1,249.0,38.0
[-100.76328,1,225.0,37.0
[-100.76509,1,100.0,30.0
[-100.7656784   41.1381714],1,241.0,38.0
[-100.77592,1,100.0,30.0
[-100.77663,2,354.0,35.0
[-100.77831,1,100.0,30.0
[-100.77894,1,218.0,37.0
[-100.78279,1,446.0,43.0
[-100.7829773,4,24009.0,64.75
[-100.7829773   46.8024039],1,3484.0,61.0
[-100.78402,1,100.0,30.0
[-100.78716100000001,1,70000.0,87.0
[-100.78869,1,231.0,37.0
[-100.79037,1,486.0,44.0
[-100.79512,1,100.0,30.0
[-100.7955474,13,1339.0,0.0
[-100.79614,1,460.0,43.0
[-100.8089,1,417.0,42.0
[-100.81577,2,730.0,40.5
[-100.81673,1,296.0,39.0
[-100.8427,1,100.0,30.0
[-100.847199,1,1500.0,54.0
[-100.8645576,1,81.0,28.0
[-100.86682   46.8309 ],1,100.0,30.0
[-100.866888,1,1500.0,54.0
[-100.8726618,1,80.0,28.0
[-100.88763,1,586.0,45.0
[-100.89237,1,100.0,30.0
[-100.8958674,1,160.0,34.0
[-100.89802,1,100.0,30.0
[-100.89804,1,1144.0,51.0
[-100.9028886,1,100.0,30.0
[-100.90756   37.03653],1,1159.0,51.0
[-100.921     37.04308],1,166.0,34.0
