city,secondary_events_count,avg_secondary_price_market,avg_volatility_market,avg_listings_market,high_demand_rate_market,unique_artists_secondary
?stanbul,1,88.3,0.0559402224040044,20.0,0.0,1
Albany,2,80.4675,0.2117808140891284,596.0,1.0,2
Albuquerque,2,60.1675,0.2503381513023918,29.0,0.0,2
Alexandria,1,102.01,0.1102863959962547,26.0,0.0,1
Allentown,2,35.5075,0.058966651752226554,49.0,0.0,2
Alpharetta,2,77.62,0.232493861588602,,0.0,2
Ames,2,83.34,0.35052424794038445,470.5,1.0,2
Amsterdam,1,126.56,0.2232794416242283,70.0,0.0,1
Anaheim,5,64.899,0.15716954736646876,65.0,0.0,3
Ann Arbor,1,22.43,0.446112103815853,123.0,0.0,1
Asheville,1,61.58,0.2155690629081948,26.0,0.0,1
Athens,2,125.95,0.1112679402866421,115.0,0.0,2
Atlanta,19,88.69421052631579,0.27900531589688116,294.92857142857144,0.42105263157894735,18
Atlantic City,8,67.08071428571428,0.12415449395643455,340.5,0.5,6
Auburn,3,102.11833333333334,0.14444342393771734,503.0,0.6666666666666666,3
Austin,8,67.173125,0.1683067820531579,261.1666666666667,0.25,8
Baltimore,6,194.61,0.20947095901545051,274.4,0.3333333333333333,6
Barcelona,1,196.715,0.4918962435284645,116.0,0.0,1
Bend,1,,,49.0,0.0,1
Bensalem,1,,,128.0,0.0,1
Berlin,3,124.75750000000001,0.0700690884668497,69.66666666666667,0.0,2
Bethlehem,2,88.7,0.15128585922947227,237.5,0.5,2
Birmingham,10,114.5375,0.14570287948036337,102.2,0.2,10
Boise,1,63.16,0.3952205652376413,348.0,1.0,1
Bossier City,2,88.36,0.1618510265748944,54.0,0.0,2
Boston,27,81.26326923076924,0.2294976535308078,333.5833333333333,0.48148148148148145,18
Boulder,1,159.705,0.0798427031186134,398.0,1.0,1
Bridgeport,1,80.975,0.2309724362480951,246.0,1.0,1
Brighton,1,51.71,0.1086244359000391,42.0,0.0,1
Brisbane,1,216.9,0.1392401496266624,80.0,0.0,1
Bristow,1,65.695,0.1452902585273878,,0.0,1
Bronx,1,232.11,0.3610504479190035,284.0,1.0,1
Brooklyn,8,96.79,0.14453836587946234,333.875,0.5,6
Buenos Aires,5,93.2525,0.27943287184589205,80.2,0.0,3
Buffalo,1,81.79,0.2480197630774368,265.0,1.0,1
Burswood,1,94.5,0.3131005366528365,17.0,0.0,1
Calgary,5,39.605000000000004,0.29581454483349484,339.0,0.2,5
Camden,1,77.98,0.5220447256736924,,0.0,1
Canberra,1,136.505,0.1366331958124579,28.0,0.0,1
Cape Town,1,,,23.0,0.0,1
Cardiff,2,96.2775,0.1624183776593264,11.0,0.0,2
Cerritos,1,62.385,0.2554667334195383,374.0,1.0,1
Chandler,1,72.815,0.0572658875283022,123.0,0.0,1
Chapel Hill,1,41.6,0.2175705049478465,462.0,1.0,1
Charleston,3,64.26,0.22165579148129722,547.0,0.6666666666666666,3
Charlotte,7,71.93642857142856,0.1976045979367596,923.5,0.2857142857142857,6
Charlottesville,3,149.94166666666666,0.2767347414301971,452.6666666666667,0.6666666666666666,2
Chesterfield,1,104.85,0.1643175806389228,24.0,0.0,1
Cheyenne,1,,,75.0,0.0,1
Chicago,30,91.67407407407407,0.227229829472885,352.8333333333333,0.3333333333333333,26
Chula Vista,2,82.42500000000001,0.14882788775384495,,0.0,2
Cincinnati,7,52.215,0.26163754749319823,281.6666666666667,0.2857142857142857,7
Ciudad de México,1,28.340000000000003,0.1503278963264828,3.0,0.0,1
Clarkston,1,66.37,0.2634715937037701,,0.0,1
Clearwater,1,75.405,0.0825678376008316,217.0,1.0,1
Clearwater Beach,1,77.235,0.1944387565451471,253.0,1.0,1
Cleveland,2,58.870000000000005,0.1886197606336008,222.0,0.5,2
Columbia,5,63.688,0.15657159708579507,390.0,0.6,5
Columbus,7,52.8975,0.32495295613493047,289.0,0.2857142857142857,7
Commerce City,1,544.3399999999999,0.1503966188740327,20.0,0.0,1
Copenhagen,1,109.85,0.139126596914741,19.0,0.0,1
Corpus Christi,1,47.16,0.0165377132459109,679.0,1.0,1
Costa Mesa,4,69.92750000000001,0.17089482570690143,324.25,1.0,1
Cuyahoga Falls,1,77.83,0.3478516313456166,,0.0,1
Dallas,8,85.11874999999999,0.31801362465188593,476.4,0.5,8
Danville,1,88.99,0.0854814870363426,457.0,1.0,1
Darien Center,1,119.81,0.0830987880526771,258.0,1.0,1
Davie,3,172.83,0.19151673577521558,758.0,0.6666666666666666,3
Daytona Beach,1,65.26,0.0,590.0,1.0,1
Del Mar,1,105.86,0.1246988861127707,51.0,0.0,1
Denver,7,75.50857142857144,0.2299019751201705,296.75,0.14285714285714285,7
Des Moines,2,86.755,0.12546345454156405,379.0,0.5,2
Detroit,8,62.79875,0.3715645000671066,370.0,0.375,8
Duluth,1,54.21,0.0283563101002592,214.0,1.0,1
Durant,1,54.55,0.1232191197845792,485.0,1.0,1
Edmonton,3,63.035000000000004,0.2378338737340248,335.0,0.3333333333333333,3
El Cajon,1,41.4,0.3015734056919981,294.0,1.0,1
El Paso,1,56.255,0.135129280618311,90.0,0.0,1
Elizabeth,1,72.13499999999999,0.240603757768699,40.0,0.0,1
Elmont,3,32.05166666666667,0.3061167505484871,,0.0,3
Englewood,1,70.47,0.179019447187278,582.0,1.0,1
Estero,2,55.5225,0.3462844041282108,120.0,0.0,2
Eugene,1,84.22,0.412866938745308,,0.0,1
Evansville,1,,,271.0,1.0,1
Fayetteville,2,65.60249999999999,0.2000538476672411,488.0,0.5,2
Fishers,3,222.58666666666667,0.13277876830761928,108.66666666666667,0.0,2
Flushing,2,,,39.5,0.0,1
Fort Lauderdale,1,41.0,0.1834940213835754,222.0,1.0,1
Fort Wayne,1,67.29,0.2990929040338356,574.0,1.0,1
Fort Worth,3,102.15333333333332,0.17151506102515443,43.0,0.0,3
Foxborough,1,318.895,0.2911209568165874,159.0,0.0,1
Frankfurt,1,98.42,0.1582627639893491,79.0,0.0,1
George,1,,,63.0,0.0,1
Glasgow,2,114.64750000000001,0.12005813458508935,51.5,0.0,2
Glendale,2,158.4425,0.11842135067927695,378.5,1.0,2
Grand Forks,1,38.08,0.2117184055639372,362.0,1.0,1
Grand Prairie,4,69.69375,0.17422959900164234,576.0,1.0,4
Grand Rapids,2,149.66,0.19674397179731515,170.0,0.0,2
Greensboro,3,107.3525,0.1280840347316258,634.0,0.6666666666666666,3
Greenville,2,73.85,0.24653569923757934,,0.0,1
Halifax,2,46.05,0.1531853991131589,283.0,0.5,2
Hamburg,2,134.705,0.2282124382535403,31.5,0.0,2
