city,state_code,tm_events_2025,tm_avg_price_2025,tm_artists_2025,tm_venues_2025,year
 Covington,KY,5,34.661,3,1,2025
Agoura Hills,CA,5,26.106,5,1,2025
Akron,OH,16,31.357083333333332,12,4,2025
Albany,GA,1,53.665,1,1,2025
Albany,NY,12,27.393333333333334,9,4,2025
Alexandria,VA,18,39.104375,14,1,2025
Anaheim,CA,22,29.514761904761908,22,3,2025
Anderson,IN,1,29.305,0,1,2025
Ann Arbor,MI,13,17.64076923076923,1,1,2025
Annapolis,MD,20,22.12475,16,2,2025
Appleton,WI,3,9.7725,3,1,2025
Asbury Park,NJ,22,29.279285714285713,11,3,2025
Aspen,CO,2,19.545,1,1,2025
Athens,GA,4,14.69125,4,2,2025
Atlanta,GA,97,28.88467741935484,84,20,2025
Atlantic City,NJ,4,31.64,0,1,2025
Aurora,CO,12,29.468333333333334,0,1,2025
Aurora,IL,4,42.825,1,1,2025
Bakersfield,CA,5,14.818750000000001,3,4,2025
Baton Rouge,LA,10,24.07,6,2,2025
Battle Creek,MI,1,31.64,1,1,2025
Bay St Louis,MS,1,29.305,0,1,2025
Belleville,MI,6,24.685,1,1,2025
Bellflower,CA,1,131.55,0,1,2025
Belmont Park,NY,5,30.547000000000004,5,1,2025
Berkeley,CA,3,33.755,2,2,2025
Berwyn,IL,55,19.493796296296296,3,3,2025
Bethel,NY,2,23.247500000000002,2,1,2025
Bethesda,MD,2,44.822500000000005,2,1,2025
Beverly Hills,CA,3,19.545,2,1,2025
Biloxi,MS,5,27.445000000000004,5,4,2025
Binghamton,NY,1,29.305,1,1,2025
Birmingham,AL,48,16.65053191489362,17,8,2025
Bloomington,IN,2,14.6525,2,1,2025
Bossier City,LA,1,17.19,1,1,2025
Boulder,CO,5,20.615000000000002,4,2,2025
Braidwood,IL,1,33.4,0,1,2025
Branson,MO,4,19.545,1,1,2025
Brea,CA,2,61.77250000000001,1,1,2025
Bridgeport,CT,2,35.980000000000004,1,1,2025
Brookfield,WI,2,15.82,1,2,2025
Brooklyn,NY,60,27.38921052631579,44,14,2025
Brooklyn ,NY,15,55.70933333333333,0,1,2025
Brookville,NY,2,40.8925,1,2,2025
Buffalo,NY,12,39.757954545454545,6,8,2025
Cabazon,CA,1,53.665,1,1,2025
Canton,OH,2,29.305,1,2,2025
Carmel,IN,2,24.185000000000002,2,1,2025
Carrboro,NC,1,0.13,1,1,2025
Cary,NC,1,77.16499999999999,0,1,2025
Catoosa,OK,1,29.305,1,1,2025
Cerritos,CA,9,31.631666666666664,6,1,2025
Charlotte,NC,30,28.956944444444442,24,13,2025
Charlottesville,VA,20,27.71275,13,3,2025
Chattanooga,TN,12,45.38272727272727,9,4,2025
Cherokee,NC,2,17.19,1,1,2025
Chicago,IL,207,30.459756097560977,84,39,2025
Chico,CA,1,54.46,1,1,2025
Cincinnati,OH,35,32.296875,29,8,2025
Clearwater,FL,3,26.830000000000002,3,1,2025
Cleveland,OH,27,25.859807692307694,15,6,2025
Clifton,NJ,10,28.121,5,2,2025
Colorado Springs,CO,24,26.57166666666667,10,9,2025
Columbus,OH,53,22.257735849056605,27,13,2025
