year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show
2022,47,Albany-Schenectady-Troy,6758751,121687,55.54,0.0,36,60,187743.08333333334,3380.1944444444443
2023,49,Albany-Schenectady-Troy,23249640,379386,61.28,0.1,181,59,128451.0497237569,2096.0552486187844
2024,53,Albany-Schenectady-Troy,30441052,459187,66.29,0.08,137,59,222197.4598540146,3351.7299270072995
2025,48,Albany-Schenectady-Troy,43907952,671923,65.35,-0.014,162,62,271036.74074074073,4147.672839506173
2022,62,Albuquerque,4872886,103599,47.04,0.0,26,48,187418.6923076923,3984.576923076923
2023,85,Albuquerque,8261222,156324,52.85,0.12,114,48,72466.85964912281,1371.2631578947369
2024,75,Albuquerque,14446750,259726,55.62,0.05,158,49,91435.12658227848,1643.8354430379748
2025,73,Albuquerque-Santa Fe,14762446,247184,59.72,0.074,144,48,102516.98611111111,1716.5555555555557
2022,6,Atlanta,76176409,755776,100.79,0.0,268,7,284240.33208955225,2820.0597014925374
2023,11,Atlanta,170879598,2088706,81.81,-0.19,748,10,228448.66042780748,2792.3877005347595
2024,8,Atlanta,282184056,2778151,101.57,0.24,974,7,289716.68993839837,2852.311088295688
2025,9,Atlanta,245761461,2578327,95.32,-0.062,1042,7,235855.52879078695,2474.402111324376
2022,36,Austin,13657813,242007,56.44,0.0,99,38,137957.70707070708,2444.5151515151515
2023,22,Austin,91534306,785333,116.55,1.07,199,39,459971.38693467336,3946.396984924623
2024,23,Austin,105878671,1098719,96.37,-0.17,271,35,390696.20295202953,4054.3136531365312
2025,18,Austin,138160326,1333626,103.6,0.075,325,34,425108.6953846154,4103.464615384615
2022,86,Bakersfield,2236762,35150,63.63,0.0,11,125,203342.0,3195.4545454545455
2023,97,Bakersfield,6738941,116620,57.79,-0.09,48,126,140394.60416666666,2429.5833333333335
2024,76,Bakersfield,13999063,168268,83.2,0.44,52,123,269212.75,3235.923076923077
2025,93,Bakersfield,8646804,113766,76.01,-0.086,50,125,172936.08,2275.32
2022,70,Baltimore,3653571,49278,74.14,0.0,24,28,152232.125,2053.25
2023,36,Baltimore,42647125,504975,84.45,0.14,104,26,410068.5096153846,4855.528846153846
2024,36,Baltimore,51884309,509133,101.91,0.21,126,28,411780.2301587302,4040.7380952380954
2025,33,Baltimore,69349259,764690,90.69,-0.11,162,29,428081.84567901236,4720.308641975309
2022,96,Bangor,1618834,23983,67.5,0.0,3,155,539611.3333333334,7994.333333333333
2025,92,Bangor,8655072,102062,84.8,0.185,12,156,721256.0,8505.166666666666
2022,91,Baton Rouge,2002858,29995,66.77,0.0,13,94,154066.0,2307.3076923076924
2022,77,Bend,3155285,43681,72.23,0.0,10,184,315528.5,4368.1
2022,90,Billings-Hardin,2087669,39666,52.63,0.0,42,167,49706.40476190476,944.4285714285714
2025,95,Biloxi-Gulfport,8017556,99475,80.6,-0.064,43,158,186454.7906976744,2313.3720930232557
2023,91,Biloxi-Gulfport-Pascagoula,7501476,102729,73.02,-0.05,55,160,136390.47272727272,1867.8
2024,100,Biloxi-Gulfport-Pascagoula,6803300,79021,86.09,0.18,43,157,158216.27906976745,1837.6976744186047
2022,49,Birmingham,6512182,79847,81.56,0.0,33,45,197338.84848484848,2419.6060606060605
2023,75,Birmingham,11798574,191671,61.56,-0.25,59,45,199975.83050847458,3248.6610169491523
2024,47,Birmingham,33559557,439981,76.28,0.24,170,45,197409.1588235294,2588.1235294117646
2025,49,Birmingham (Anniston and Tuscaloosa),42987158,570585,75.34,-0.012,201,45,213866.45771144278,2838.731343283582
2022,80,Boise,2851884,54764,52.08,0.0,40,101,71297.1,1369.1
2023,45,Boise,26877242,409406,65.65,0.26,287,106,93648.9268292683,1426.5017421602788
2024,57,Boise,24878598,387936,64.13,-0.02,266,98,93528.56390977444,1458.406015037594
2025,65,Boise,19804628,328283,60.33,-0.059,258,98,76762.12403100776,1272.4147286821706
2022,22,Boston,29270754,455608,64.25,0.0,299,10,97895.4983277592,1523.772575250836
2023,6,Boston,241196035,3007936,80.19,0.25,1756,9,137355.37300683372,1712.9476082004555
2024,5,Boston,346992352,3881422,89.4,0.11,1843,8,188275.82854042322,2106.0347259902333
2025,4,Boston (Manchester),400876049,4408122,90.94,0.017,2333,9,171828.5679382769,1889.4650664380626
2022,37,Buffalo,12890110,188629,68.34,0.0,52,53,247886.73076923078,3627.480769230769
2023,53,Buffalo,21013004,279843,75.09,0.1,99,53,212252.56565656565,2826.6969696969695
2024,70,Buffalo,18052665,310481,58.14,-0.23,84,54,214912.67857142858,3696.2023809523807
2025,42,Buffalo,51506530,597194,86.25,0.483,119,54,432827.9831932773,5018.436974789916
2022,72,Cedar Rapids-Waterloo,3446740,71868,47.96,0.0,64,92,53855.3125,1122.9375
2023,81,Cedar Rapids-Waterloo,9379715,189316,49.55,0.03,141,90,66522.80141843972,1342.6666666666667
2024,97,Cedar Rapids-Waterloo,7289165,134555,54.17,0.09,93,93,78378.1182795699,1446.8279569892472
2025,88,Cedar Rapids-Waterloo-Iowa City & Dubuque,8894574,165396,53.78,-0.007,91,94,97742.57142857143,1817.5384615384614
2022,68,Charleston,3821017,58268,65.58,0.0,40,89,95525.425,1456.7
2023,48,Charleston,24682314,339947,72.61,0.11,184,94,134143.01086956522,1847.5380434782608
2024,61,"Charleston, SC",23279066,344799,67.51,-0.07,201,88,115816.2487562189,1715.4179104477612
2025,69,"Charleston, SC",17085281,271803,62.86,-0.069,211,85,80972.89573459716,1288.1658767772512
2022,92,Charleston-Huntington,1892492,29505,64.14,0.0,11,75,172044.72727272726,2682.2727272727275
2023,89,Charleston-Huntington,7652578,122872,62.28,-0.03,59,70,129704.71186440678,2082.576271186441
2024,98,Charleston-Huntington,6809841,96220,70.77,0.14,42,79,162139.07142857142,2290.9523809523807
2025,80,Charleston-Huntington,11388299,218177,52.2,-0.262,71,82,160398.57746478874,3072.9154929577467
2022,20,Charlotte,33760402,412841,81.78,0.0,129,22,261708.5426356589,3200.3178294573645
2023,21,Charlotte,92862231,1041088,89.2,0.09,423,22,219532.4609929078,2461.2009456264777
2024,19,Charlotte,140593778,1665715,84.4,-0.05,628,21,223875.44267515923,2652.4124203821657
2025,23,Charlotte,112986221,1216064,92.91,0.101,589,21,191827.20033955856,2064.6247877758915
2024,94,Charlottesville,8681892,99618,87.15,0.67,12,177,723491.0,8301.5
2023,98,Chattanooga,6607820,102561,64.43,0.44,83,89,79612.2891566265,1235.6746987951808
2025,100,Chattanooga,6010590,101433,59.26,-0.19,92,86,65332.5,1102.5326086956522
2022,5,Chicago,86042731,1068037,80.56,0.0,458,3,187866.2248908297,2331.9585152838426
2023,4,Chicago,295681068,3291100,89.84,0.12,1207,3,244971.88732394367,2726.677713338857
2024,4,Chicago,367388152,4010328,91.61,0.02,1383,3,265645.80766449746,2899.7310195227765
2025,5,Chicago,399947094,4226636,94.63,0.033,1620,3,246880.92222222223,2609.0345679012344
2022,38,Cincinnati,11488279,206293,55.69,0.0,87,36,132049.183908046,2371.183908045977
2023,47,Cincinnati,24865505,410073,60.64,0.09,183,36,135877.07650273223,2240.8360655737706
2024,40,Cincinnati,42953265,624229,68.81,0.13,325,36,132163.8923076923,1920.7046153846154
2025,40,Cincinnati,55648300,706877,78.72,0.144,278,37,200173.74100719424,2542.723021582734
2022,31,Cleveland,17787957,253260,70.24,0.0,46,19,386694.7173913043,5505.652173913043
2023,32,Cleveland,45330757,676542,67.0,-0.05,193,19,234874.38860103628,3505.39896373057
2024,35,Cleveland,53784176,816970,65.83,-0.02,226,19,237983.0796460177,3614.9115044247787
2025,31,Cleveland-Akron (Canton),83551320,856169,97.59,0.482,196,19,426282.2448979592,4368.209183673469
2022,79,Columbia,2869085,52143,55.02,0.0,17,76,168769.70588235295,3067.235294117647
2023,69,Columbia,14758107,186859,78.98,0.44,47,77,314002.27659574465,3975.723404255319
2024,90,Columbia,9998824,115380,86.66,0.1,37,76,270238.4864864865,3118.3783783783783
2025,96,"Columbia, SC",7597706,131695,57.69,-0.334,44,76,172675.13636363635,2993.068181818182
2022,40,Columbus,9263107,131454,70.47,0.0,84,33,110275.08333333333,1564.9285714285713
2023,44,Columbus,27644508,371655,74.38,0.06,252,32,109700.42857142857,1474.8214285714287
2024,27,"Columbus, OH",86664972,855423,101.31,0.36,379,32,228667.4722955145,2257.052770448549
2025,43,"Columbus, OH",47738285,665917,71.69,-0.292,467,35,102223.30835117774,1425.9464668094217
2023,87,Columbus-Tupelo,7843650,191852,40.88,-0.09,93,133,84340.32258064517,2062.9247311827958
2022,98,Corpus Christi,1541542,40343,38.21,0.0,17,130,90678.94117647059,2373.1176470588234
2022,7,Dallas-Ft. Worth,60905142,683363,89.13,0.0,134,5,454515.98507462686,5099.723880597015
2023,8,Dallas-Ft. Worth,206799956,2252572,91.81,0.03,394,5,524872.9847715736,5717.187817258883
2024,10,Dallas-Ft. Worth,259607807,2755018,94.23,0.03,468,5,554717.5363247864,5886.790598290599
2025,10,Dallas-Ft. Worth,242219020,2532466,95.65,0.015,461,4,525420.8676789588,5493.418655097614
2022,88,Davenport-Rock Island,2175938,36059,60.34,0.0,10,103,217593.8,3605.9
2023,99,Davenport-Rock Island,6377075,124490,51.23,-0.15,37,101,172353.37837837837,3364.5945945945946
2022,84,Dayton,2466633,35854,68.8,0.0,9,65,274070.3333333333,3983.777777777778
2023,86,Dayton,8088168,146297,55.29,-0.2,71,64,113917.85915492958,2060.521126760563
2024,74,Dayton,14682663,236937,61.97,0.12,100,64,146826.63,2369.37
2022,8,Denver,56340791,706176,79.78,0.0,152,16,370663.0986842105,4645.894736842105
2023,16,Denver,134568071,1569758,85.73,0.07,412,17,326621.53155339806,3810.0922330097087
2024,18,Denver,152814674,1691713,90.33,0.05,457,16,334386.5951859956,3701.7789934354487
2025,12,Denver,218395048,2433003,89.76,-0.006,600,17,363991.74666666664,4055.005
2023,77,Des Moines,11421996,146384,78.03,0.54,47,69,243021.1914893617,3114.553191489362
