event_id,event_name,event_date,timezone,event_status,onsale_date,artist_id,artist_name,venue_id,venue_name,city,state_code,postal_code,country_code,latitude,longitude,price_min,price_max,currency,segment,genre,subgenre,type,subtype,promoter_name,promoter_id,event_year,event_month,event_dayofweek,event_quarter,advance_days,price_range,price_avg
k7vGFbU9LDGQC,Beach Music Annual Holiday Party,2025-12-07 17:00:00+00:00,America/New_York,onsale,2025-11-05 21:00:00+00:00,,Unknown,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,31.0,,29.305
k7vGFbwJsFoUR,Sinderella's Ball,2025-12-07 00:00:00+00:00,America/New_York,offsale,2025-09-09 18:00:00+00:00,,Unknown,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,88.0,,29.305
k7vGFbshKh9T5,Jesse Malin + Special Guest,2025-12-13 00:00:00+00:00,America/New_York,onsale,2025-08-28 14:00:00+00:00,K8vZ9175pW0,Jesse Malin,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Alternative Rock,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,5.0,4.0,106.0,,29.305
k7vGFbRktOPj7,Jesse Malin,2025-12-14 00:00:00+00:00,America/New_York,onsale,2025-08-08 14:00:00+00:00,K8vZ9175pW0,Jesse Malin,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Alternative Rock,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,127.0,,29.305
k7vGFbgNLo1fr,WhyHunger Celebrates 50th Anniversary /Hungerthon Benefit Docu-Concert,2025-12-14 23:00:00+00:00,America/New_York,onsale,2025-11-05 15:00:00+00:00,,Unknown,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,39.0,,29.305
k7vGFbswE-wiB,Low Cut Connie,2025-12-20 00:00:00+00:00,America/New_York,onsale,2025-08-31 16:00:00+00:00,K8vZ9172Gt7,Low Cut Connie,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Alternative Rock,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,5.0,4.0,110.0,,29.305
k7v17bg0oG7nHDj,The Nerds Annual Holiday Show Special Guest Illegally Blind,2025-12-20 23:30:00+00:00,America/New_York,onsale,2025-10-26 00:30:00+00:00,K8vZ917uWkV,The Nerds,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,5.0,4.0,55.0,,29.305
k7vGFbUS52uWQ,Emo Night Brookly:  A Very Emo Christmas  21+ Event,2025-12-27 02:00:00+00:00,America/New_York,onsale,2025-11-28 17:00:00+00:00,K8vZ9174hJ7,Emo Night Brooklyn,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,5.0,4.0,28.0,,29.305
k7vGFbS2Y9ND8,Sam MacPherson,2025-12-28 00:00:00+00:00,America/New_York,onsale,2025-09-26 14:00:00+00:00,K8vZ917QmF7,Sam MacPherson,KovZpZAdt7AA,The Stone Pony,Asbury Park,NJ,7712,US,40.220001,-74.00071097,24.91,30.31,USD,Music,Rock,Pop,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,92.0,,29.305
k7vGFbMJCoUQ6,Sandy Mack's Wonder Jam 21+ Event,2025-12-07 22:00:00+00:00,America/New_York,onsale,2025-11-25 16:00:00+00:00,K8vZ9178iRV,Sandy Mack,KovZpZAdnEtA,The Wonder Bar,Asbury Park,NJ,7712,US,40.22328639,-73.99950139,23.0,26.825,USD,Music,Blues,Blues,Undefined,Undefined,LIVE NATION MUSIC,653.0,2025.0,12.0,6.0,4.0,12.0,,25.52
