city,date_only,num_events,temperature_avg,precipitation_total
Atlanta,2016-03-13,1,,
Atlanta,2016-03-14,3,,
Atlanta,2016-03-15,1,,
Atlanta,2016-03-16,4,,
Atlanta,2016-03-17,2,,
Atlanta,2016-03-18,1,,
Atlanta,2016-03-19,4,,
Atlanta,2016-03-20,3,,
Atlanta,2016-03-21,1,,
Atlanta,2016-03-22,1,,
Atlanta,2016-03-23,1,,
Atlanta,2016-03-24,1,,
Atlanta,2016-03-25,1,,
Atlanta,2016-03-26,3,,
Atlanta,2016-03-27,2,,
Atlanta,2016-04-01,3,,
Atlanta,2016-04-02,4,,
Atlanta,2016-04-03,3,,
Atlanta,2016-04-05,2,,
Atlanta,2016-04-06,1,,
Atlanta,2016-04-07,3,,
Atlanta,2016-04-09,1,,
Atlanta,2016-04-10,2,,
Atlanta,2016-04-12,2,,
Atlanta,2016-04-13,2,,
Atlanta,2016-04-14,2,,
Atlanta,2016-04-15,1,,
Atlanta,2016-04-16,1,,
Atlanta,2016-04-17,4,,
Atlanta,2016-04-20,1,,
Atlanta,2016-04-21,1,,
Atlanta,2016-04-22,5,,
Atlanta,2016-04-23,4,,
Atlanta,2016-04-24,1,,
Atlanta,2016-04-25,2,,
Atlanta,2016-04-27,1,,
Atlanta,2016-04-28,3,,
Atlanta,2016-04-29,1,,
Atlanta,2016-04-30,5,,
Atlanta,2016-05-01,4,,
Atlanta,2016-05-02,1,,
Atlanta,2016-05-03,6,,
Atlanta,2016-05-04,3,,
Atlanta,2016-05-06,6,,
Atlanta,2016-05-07,4,,
Atlanta,2016-05-08,2,,
Atlanta,2016-05-10,1,,
Atlanta,2016-05-13,3,,
Atlanta,2016-05-14,2,,
Atlanta,2016-05-15,1,,
Atlanta,2016-05-16,1,,
Atlanta,2016-05-17,1,,
Atlanta,2016-05-18,3,,
Atlanta,2016-05-19,1,,
Atlanta,2016-05-20,3,,
Atlanta,2016-05-21,2,,
Atlanta,2016-05-22,1,,
Atlanta,2016-05-25,1,,
Atlanta,2016-05-27,1,,
Atlanta,2016-05-28,1,,
Atlanta,2016-06-03,1,,
Atlanta,2016-06-06,1,,
Atlanta,2016-06-08,1,,
Atlanta,2016-06-09,1,,
Atlanta,2016-06-11,4,,
Atlanta,2016-06-13,1,,
Atlanta,2016-06-16,1,,
Atlanta,2016-06-17,1,,
Atlanta,2016-06-18,1,,
Atlanta,2016-06-19,2,,
Atlanta,2016-06-22,1,,
Atlanta,2016-06-24,2,,
Atlanta,2016-06-26,1,,
Atlanta,2016-06-29,2,,
Atlanta,2016-07-01,1,,
Atlanta,2016-07-02,1,,
Atlanta,2016-07-03,1,,
Atlanta,2016-07-04,1,,
Atlanta,2016-07-10,1,,
Atlanta,2016-07-12,1,,
Atlanta,2016-07-14,1,,
Atlanta,2016-07-15,1,,
Atlanta,2016-07-16,1,,
Atlanta,2016-07-17,2,,
Atlanta,2016-07-24,1,,
Atlanta,2016-07-30,1,,
Atlanta,2016-07-31,2,,
Atlanta,2016-08-06,1,,
Atlanta,2016-08-08,1,,
Atlanta,2016-08-12,1,,
Atlanta,2016-08-13,1,,
Atlanta,2016-08-26,1,,
Atlanta,2016-09-04,1,,
Atlanta,2016-09-10,1,,
Atlanta,2016-10-22,1,,
Atlanta,2016-10-27,2,,
Atlanta,2016-10-28,1,,
Atlanta,2016-10-29,1,,
Atlanta,2016-11-11,1,,
Atlanta,2016-11-16,1,,
Atlanta,2016-12-20,1,,
Austin,2016-03-17,2,,
Austin,2016-03-18,1,,
Austin,2016-03-21,1,,
Austin,2016-03-23,2,,
Austin,2016-03-25,4,,
Austin,2016-03-26,2,,
Austin,2016-03-27,2,,
Austin,2016-03-28,1,,
Austin,2016-03-31,1,,
Austin,2016-04-01,1,,
Austin,2016-04-02,2,,
Austin,2016-04-03,2,,
Austin,2016-04-05,1,,
Austin,2016-04-07,1,,
Austin,2016-04-08,2,,
Austin,2016-04-09,3,,
Austin,2016-04-10,4,,
Austin,2016-04-11,2,,
Austin,2016-04-12,1,,
Austin,2016-04-13,1,,
Austin,2016-04-15,3,,
Austin,2016-04-16,4,,
Austin,2016-04-17,1,,
Austin,2016-04-18,1,,
Austin,2016-04-20,2,,
Austin,2016-04-21,2,,
Austin,2016-04-22,4,,
Austin,2016-04-23,2,,
Austin,2016-04-24,1,,
Austin,2016-04-25,1,,
Austin,2016-04-26,1,,
Austin,2016-04-27,1,,
Austin,2016-04-28,2,,
Austin,2016-04-29,3,,
Austin,2016-04-30,3,,
Austin,2016-05-02,1,,
Austin,2016-05-03,1,,
Austin,2016-05-04,1,,
Austin,2016-05-06,3,,
Austin,2016-05-07,2,,
Austin,2016-05-08,2,,
Austin,2016-05-09,1,,
Austin,2016-05-11,2,,
Austin,2016-05-12,1,,
Austin,2016-05-14,4,,
Austin,2016-05-15,1,,
Austin,2016-05-16,1,,
Austin,2016-05-18,3,,
Austin,2016-05-19,2,,
Austin,2016-05-20,1,,
Austin,2016-05-22,1,,
Austin,2016-05-23,1,,
Austin,2016-05-27,2,,
Austin,2016-05-28,2,,
Austin,2016-05-29,1,,
Austin,2016-06-05,2,,
Austin,2016-06-07,1,,
Austin,2016-06-08,1,,
Austin,2016-06-18,2,,
Austin,2016-06-19,2,,
Austin,2016-06-20,1,,
Austin,2016-06-22,1,,
Austin,2016-06-23,1,,
Austin,2016-06-24,2,,
Austin,2016-06-26,1,,
Austin,2016-07-07,1,,
Austin,2016-07-10,1,,
Austin,2016-07-13,1,,
Austin,2016-07-24,1,,
Austin,2016-08-02,1,,
Austin,2016-08-05,1,,
Austin,2016-08-08,1,,
Austin,2016-08-12,1,,
Austin,2016-08-13,1,,
Austin,2016-08-14,1,,
Austin,2016-08-20,1,,
Austin,2016-09-23,1,,
Austin,2016-09-30,1,,
Austin,2016-10-07,1,,
Austin,2016-11-05,1,,
Austin,2017-03-06,1,,
Boston,2016-03-13,1,,
Boston,2016-03-16,1,,
Boston,2016-03-17,2,,
Boston,2016-03-18,5,,
Boston,2016-03-19,5,,
Boston,2016-03-20,3,,
Boston,2016-03-21,3,,
Boston,2016-03-22,1,,
Boston,2016-03-23,1,,
Boston,2016-03-24,1,,
Boston,2016-03-25,3,,
Boston,2016-03-26,3,,
Boston,2016-03-27,1,,
Boston,2016-03-29,3,,
Boston,2016-03-30,1,,
Boston,2016-03-31,1,,
Boston,2016-04-01,2,,
Boston,2016-04-02,4,,
Boston,2016-04-03,2,,
Boston,2016-04-04,2,,
Boston,2016-04-05,3,,
Boston,2016-04-06,1,,
Boston,2016-04-07,1,,
Boston,2016-04-08,2,,
Boston,2016-04-09,5,,
Boston,2016-04-10,3,,
Boston,2016-04-11,1,,
Boston,2016-04-12,5,,
Boston,2016-04-14,3,,
Boston,2016-04-15,2,,
Boston,2016-04-16,1,,
Boston,2016-04-17,4,,
Boston,2016-04-18,1,,
Boston,2016-04-19,1,,
Boston,2016-04-20,2,,
Boston,2016-04-21,1,,
Boston,2016-04-22,2,,
Boston,2016-04-23,2,,
Boston,2016-04-24,4,,
Boston,2016-04-25,1,,
Boston,2016-04-27,1,,
Boston,2016-04-28,2,,
Boston,2016-04-29,1,,
Boston,2016-04-30,2,,
Boston,2016-05-01,1,,
Boston,2016-05-03,1,,
Boston,2016-05-04,1,,
Boston,2016-05-05,1,,
Boston,2016-05-06,3,,
Boston,2016-05-07,4,,
Boston,2016-05-08,2,,
Boston,2016-05-09,2,,
Boston,2016-05-10,3,,
Boston,2016-05-11,1,,
Boston,2016-05-12,1,,
Boston,2016-05-13,1,,
Boston,2016-05-14,2,,
Boston,2016-05-15,1,,
Boston,2016-05-18,2,,
Boston,2016-05-19,2,,
Boston,2016-05-20,1,,
Boston,2016-05-21,1,,
Boston,2016-05-23,1,,
Boston,2016-05-27,4,,
Boston,2016-05-28,3,,
Boston,2016-05-29,1,,
Boston,2016-06-02,2,,
Boston,2016-06-03,1,,
Boston,2016-06-04,2,,
Boston,2016-06-05,3,,
Boston,2016-06-14,1,,
Boston,2016-06-15,3,,
Boston,2016-06-16,2,,
Boston,2016-06-17,3,,
Boston,2016-06-18,2,,
Boston,2016-06-19,2,,
Boston,2016-06-23,1,,
Boston,2016-06-25,2,,
Boston,2016-06-26,2,,
Boston,2016-06-29,1,,
Boston,2016-07-09,1,,
Boston,2016-07-14,1,,
Boston,2016-07-15,1,,
Boston,2016-07-16,1,,
Boston,2016-07-20,2,,
Boston,2016-07-24,1,,
Boston,2016-07-26,1,,
Boston,2016-07-29,1,,
Boston,2016-07-30,1,,
Boston,2016-07-31,1,,
Boston,2016-08-03,1,,
Boston,2016-08-05,2,,
Boston,2016-08-07,1,,
Boston,2016-08-09,1,,
Boston,2016-08-12,1,,
Boston,2016-08-13,1,,
Boston,2016-08-16,2,,
Boston,2016-08-18,2,,
Boston,2016-08-19,1,,
Boston,2016-08-20,2,,
Boston,2016-08-21,1,,
Boston,2016-09-14,1,,
Boston,2016-09-15,1,,
Boston,2016-09-17,1,,
Boston,2016-10-08,1,,
Boston,2016-11-04,1,,
Boston,2016-12-08,1,,
Boston,2016-12-17,1,,
Chicago,2016-03-14,3,,
Chicago,2016-03-15,1,,
Chicago,2016-03-16,2,,
Chicago,2016-03-17,2,,
Chicago,2016-03-18,1,,
Chicago,2016-03-19,6,,
Chicago,2016-03-20,7,,
Chicago,2016-03-21,1,,
Chicago,2016-03-22,1,,
Chicago,2016-03-23,3,,
Chicago,2016-03-24,2,,
Chicago,2016-03-25,4,,
Chicago,2016-03-26,4,,
Chicago,2016-03-27,5,,
Chicago,2016-03-28,1,,
Chicago,2016-03-31,2,,
Chicago,2016-04-01,2,,
Chicago,2016-04-02,7,,
Chicago,2016-04-03,4,,
Chicago,2016-04-04,1,,
Chicago,2016-04-05,1,,
Chicago,2016-04-06,3,,
Chicago,2016-04-07,6,,
Chicago,2016-04-08,2,,
Chicago,2016-04-09,6,,
Chicago,2016-04-10,1,,
Chicago,2016-04-11,2,,
Chicago,2016-04-13,1,,
Chicago,2016-04-15,4,,
Chicago,2016-04-16,6,,
Chicago,2016-04-17,6,,
Chicago,2016-04-18,2,,
Chicago,2016-04-19,2,,
Chicago,2016-04-22,1,,
Chicago,2016-04-23,3,,
Chicago,2016-04-24,5,,
Chicago,2016-04-26,1,,
Chicago,2016-04-27,1,,
Chicago,2016-04-28,1,,
Chicago,2016-04-29,4,,
Chicago,2016-04-30,4,,
Chicago,2016-05-01,4,,
Chicago,2016-05-06,3,,
Chicago,2016-05-07,2,,
Chicago,2016-05-08,2,,
Chicago,2016-05-09,1,,
Chicago,2016-05-11,2,,
Chicago,2016-05-12,2,,
Chicago,2016-05-13,2,,
Chicago,2016-05-14,6,,
Chicago,2016-05-15,6,,
Chicago,2016-05-16,1,,
Chicago,2016-05-17,3,,
Chicago,2016-05-18,2,,
Chicago,2016-05-19,2,,
Chicago,2016-05-20,1,,
Chicago,2016-05-21,3,,
Chicago,2016-05-22,2,,
Chicago,2016-05-24,1,,
Chicago,2016-05-27,1,,
Chicago,2016-05-28,1,,
Chicago,2016-06-04,3,,
Chicago,2016-06-05,1,,
Chicago,2016-06-10,3,,
Chicago,2016-06-11,1,,
Chicago,2016-06-12,4,,
Chicago,2016-06-13,1,,
Chicago,2016-06-17,2,,
Chicago,2016-06-20,2,,
Chicago,2016-06-23,1,,
Chicago,2016-06-24,2,,
Chicago,2016-06-25,2,,
Chicago,2016-06-26,2,,
Chicago,2016-06-29,1,,
Chicago,2016-07-01,1,,
Chicago,2016-07-03,1,,
Chicago,2016-07-05,1,,
Chicago,2016-07-09,1,,
Chicago,2016-07-10,1,,
Chicago,2016-07-11,1,,
Chicago,2016-07-12,1,,
Chicago,2016-07-14,2,,
Chicago,2016-07-15,1,,
Chicago,2016-07-16,2,,
Chicago,2016-07-17,2,,
Chicago,2016-07-19,1,,
Chicago,2016-07-20,1,,
Chicago,2016-07-21,1,,
Chicago,2016-07-22,2,,
Chicago,2016-07-23,1,,
Chicago,2016-07-24,1,,
Chicago,2016-07-25,1,,
Chicago,2016-07-27,1,,
Chicago,2016-08-07,1,,
Chicago,2016-08-10,1,,
Chicago,2016-08-20,1,,
Chicago,2016-08-21,2,,
Chicago,2016-08-23,1,,
Chicago,2016-08-26,1,,
Chicago,2016-08-27,1,,
Chicago,2016-08-28,2,,
Chicago,2016-09-02,1,,
Chicago,2016-09-16,1,,
Chicago,2016-09-19,1,,
Chicago,2016-10-28,2,,
Chicago,2016-10-29,3,,
Chicago,2017-03-13,1,,
Dallas,2016-03-13,1,,
Dallas,2016-03-14,1,,
Dallas,2016-03-15,2,,
Dallas,2016-03-16,4,,
Dallas,2016-03-17,1,,
Dallas,2016-03-18,1,,
Dallas,2016-03-19,3,,
Dallas,2016-03-20,5,,
Dallas,2016-03-21,3,,
Dallas,2016-03-23,1,,
Dallas,2016-03-24,1,,
Dallas,2016-03-25,3,,
Dallas,2016-03-26,3,,
Dallas,2016-03-27,1,,
Dallas,2016-03-28,1,,
Dallas,2016-03-30,2,,
Dallas,2016-03-31,1,,
Dallas,2016-04-01,4,,
Dallas,2016-04-02,2,,
Dallas,2016-04-03,2,,
Dallas,2016-04-05,1,,
Dallas,2016-04-06,2,,
Dallas,2016-04-08,2,,
Dallas,2016-04-09,2,,
Dallas,2016-04-10,3,,
Dallas,2016-04-11,2,,
Dallas,2016-04-12,1,,
Dallas,2016-04-13,1,,
Dallas,2016-04-15,3,,
Dallas,2016-04-16,5,,
Dallas,2016-04-17,4,,
Dallas,2016-04-18,2,,
Dallas,2016-04-19,1,,
Dallas,2016-04-20,1,,
Dallas,2016-04-21,3,,
Dallas,2016-04-22,1,,
Dallas,2016-04-23,3,,
Dallas,2016-04-24,3,,
Dallas,2016-04-26,1,,
Dallas,2016-04-27,2,,
Dallas,2016-04-28,2,,
Dallas,2016-04-29,1,,
Dallas,2016-04-30,3,,
Dallas,2016-05-03,1,,
Dallas,2016-05-04,1,,
Dallas,2016-05-05,1,,
Dallas,2016-05-06,3,,
Dallas,2016-05-07,3,,
Dallas,2016-05-08,4,,
Dallas,2016-05-09,2,,
Dallas,2016-05-10,1,,
Dallas,2016-05-11,1,,
Dallas,2016-05-12,3,,
Dallas,2016-05-13,5,,
Dallas,2016-05-14,3,,
Dallas,2016-05-15,4,,
Dallas,2016-05-16,1,,
Dallas,2016-05-17,2,,
Dallas,2016-05-18,1,,
Dallas,2016-05-19,2,,
Dallas,2016-05-20,2,,
Dallas,2016-05-21,3,,
Dallas,2016-05-22,1,,
Dallas,2016-05-23,1,,
Dallas,2016-05-24,1,,
Dallas,2016-05-25,1,,
Dallas,2016-05-27,1,,
Dallas,2016-05-28,1,,
Dallas,2016-05-29,2,,
Dallas,2016-05-30,2,,
Dallas,2016-06-02,1,,
Dallas,2016-06-03,1,,
Dallas,2016-06-04,3,,
Dallas,2016-06-07,1,,
Dallas,2016-06-08,1,,
Dallas,2016-06-10,1,,
Dallas,2016-06-17,1,,
Dallas,2016-06-18,1,,
Dallas,2016-06-19,2,,
Dallas,2016-06-23,1,,
Dallas,2016-06-24,1,,
Dallas,2016-06-26,1,,
Dallas,2016-06-29,1,,
Dallas,2016-07-01,1,,
Dallas,2016-07-16,2,,
Dallas,2016-07-17,1,,
Dallas,2016-07-31,1,,
Dallas,2016-08-05,1,,
Dallas,2016-08-06,2,,
Dallas,2016-08-12,1,,
Dallas,2016-08-15,1,,
Dallas,2016-08-18,1,,
Dallas,2016-08-21,1,,
Dallas,2016-08-25,1,,
Dallas,2016-08-28,1,,
Dallas,2016-09-02,1,,
Dallas,2016-09-08,1,,
Dallas,2016-09-09,1,,
Dallas,2016-09-11,1,,
Dallas,2016-09-13,1,,
Dallas,2016-09-16,1,,
Dallas,2016-09-18,1,,
Dallas,2016-09-19,1,,
Dallas,2016-09-23,1,,
Dallas,2016-09-25,1,,
Dallas,2016-09-30,1,,
Dallas,2016-10-03,1,,
Dallas,2016-10-07,1,,
Dallas,2016-10-15,1,,
Dallas,2016-10-21,1,,
Dallas,2016-11-02,1,,
Dallas,2016-11-03,1,,
Dallas,2016-11-12,1,,
Dallas,2016-12-11,1,,
Dallas,2016-12-17,1,,
Denver,2016-03-13,1,,
Denver,2016-03-14,2,,
Denver,2016-03-16,2,,
Denver,2016-03-18,2,,
Denver,2016-03-19,2,,
Denver,2016-03-20,2,,
Denver,2016-03-21,1,,
Denver,2016-03-22,1,,
Denver,2016-03-23,1,,
Denver,2016-03-24,2,,
Denver,2016-03-25,2,,
Denver,2016-03-26,3,,
Denver,2016-03-27,1,,
Denver,2016-03-28,2,,
Denver,2016-03-29,1,,
Denver,2016-03-30,3,,
Denver,2016-03-31,3,,
Denver,2016-04-01,2,,
Denver,2016-04-02,3,,
Denver,2016-04-03,3,,
Denver,2016-04-04,2,,
Denver,2016-04-05,2,,
Denver,2016-04-06,2,,
Denver,2016-04-07,2,,
Denver,2016-04-08,1,,
Denver,2016-04-09,2,,
Denver,2016-04-10,3,,
Denver,2016-04-11,2,,
Denver,2016-04-12,3,,
Denver,2016-04-13,1,,
Denver,2016-04-14,4,,
Denver,2016-04-15,2,,
Denver,2016-04-16,3,,
Denver,2016-04-17,2,,
Denver,2016-04-19,1,,
Denver,2016-04-21,1,,
Denver,2016-04-22,1,,
Denver,2016-04-23,1,,
Denver,2016-04-24,2,,
Denver,2016-04-25,3,,
Denver,2016-04-26,1,,
Denver,2016-04-27,2,,
Denver,2016-04-28,2,,
Denver,2016-04-29,1,,
Denver,2016-04-30,2,,
Denver,2016-05-04,2,,
Denver,2016-05-05,2,,
Denver,2016-05-06,3,,
Denver,2016-05-07,2,,
Denver,2016-05-11,1,,
Denver,2016-05-13,4,,
Denver,2016-05-14,1,,
Denver,2016-05-15,2,,
Denver,2016-05-17,1,,
Denver,2016-05-18,1,,
Denver,2016-05-21,3,,
Denver,2016-05-22,2,,
Denver,2016-05-25,2,,
Denver,2016-05-26,2,,
Denver,2016-05-27,1,,
Denver,2016-05-31,1,,
Denver,2016-06-01,1,,
Denver,2016-06-02,1,,
Denver,2016-06-03,2,,
Denver,2016-06-04,1,,
Denver,2016-06-06,1,,
Denver,2016-06-10,2,,
Denver,2016-06-11,1,,
Denver,2016-06-12,1,,
Denver,2016-06-15,1,,
Denver,2016-06-18,2,,
Denver,2016-06-25,1,,
Denver,2016-06-26,1,,
Denver,2016-06-29,1,,
Denver,2016-07-02,1,,
Denver,2016-07-03,1,,
Denver,2016-07-10,1,,
Denver,2016-07-13,1,,
Denver,2016-07-15,1,,
Denver,2016-07-17,1,,
Denver,2016-07-18,1,,
Denver,2016-08-04,1,,
Denver,2016-08-10,1,,
Denver,2016-08-11,1,,
Denver,2016-08-20,1,,
Denver,2016-08-21,1,,
Denver,2016-08-25,1,,
Denver,2016-09-02,1,,
Denver,2016-09-15,1,,
Denver,2016-09-18,1,,
Denver,2016-09-27,1,,
Denver,2016-10-05,1,,
Denver,2016-10-07,1,,
Denver,2016-10-11,1,,
Houston,2016-03-14,5,,
Houston,2016-03-15,1,,
Houston,2016-03-16,3,,
Houston,2016-03-18,4,,
Houston,2016-03-19,3,,
Houston,2016-03-20,1,,
Houston,2016-03-21,1,,
Houston,2016-03-22,2,,
Houston,2016-03-23,2,,
Houston,2016-03-25,3,,
Houston,2016-03-26,4,,
Houston,2016-03-27,2,,
Houston,2016-03-28,1,,
Houston,2016-03-31,1,,
Houston,2016-04-02,2,,
Houston,2016-04-03,3,,
Houston,2016-04-06,1,,
Houston,2016-04-07,1,,
Houston,2016-04-08,2,,
Houston,2016-04-10,2,,
Houston,2016-04-11,2,,
Houston,2016-04-12,1,,
Houston,2016-04-14,1,,
Houston,2016-04-15,1,,
Houston,2016-04-16,4,,
Houston,2016-04-17,3,,
Houston,2016-04-18,1,,
Houston,2016-04-20,2,,
Houston,2016-04-21,3,,
Houston,2016-04-22,1,,
Houston,2016-04-23,1,,
Houston,2016-04-24,1,,
Houston,2016-04-25,1,,
Houston,2016-04-26,1,,
Houston,2016-04-27,1,,
Houston,2016-04-28,3,,
Houston,2016-04-29,2,,
Houston,2016-04-30,2,,
Houston,2016-05-02,2,,
Houston,2016-05-03,3,,
Houston,2016-05-06,1,,
Houston,2016-05-07,2,,
Houston,2016-05-08,2,,
Houston,2016-05-09,2,,
Houston,2016-05-10,3,,
Houston,2016-05-11,2,,
Houston,2016-05-12,2,,
Houston,2016-05-13,2,,
Houston,2016-05-14,3,,
Houston,2016-05-15,4,,
Houston,2016-05-16,1,,
Houston,2016-05-19,1,,
Houston,2016-05-22,4,,
Houston,2016-05-28,1,,
Houston,2016-05-29,2,,
Houston,2016-06-01,1,,
Houston,2016-06-04,1,,
Houston,2016-06-06,1,,
Houston,2016-06-08,1,,
Houston,2016-06-16,1,,
Houston,2016-06-17,1,,
Houston,2016-06-18,1,,
Houston,2016-06-21,1,,
Houston,2016-06-28,1,,
Houston,2016-07-08,1,,
Houston,2016-07-09,1,,
Houston,2016-07-14,1,,
Houston,2016-07-15,2,,
Houston,2016-07-27,1,,
Houston,2016-08-11,1,,
Houston,2016-08-14,1,,
Houston,2016-09-10,1,,
Houston,2016-10-02,1,,
Houston,2016-11-06,1,,
Houston,2016-11-09,1,,
Houston,2016-11-10,1,,
Houston,2017-03-15,1,,
Los Angeles,2016-03-13,2,,
Los Angeles,2016-03-14,2,,
Los Angeles,2016-03-15,1,,
Los Angeles,2016-03-16,2,,
Los Angeles,2016-03-17,3,,
Los Angeles,2016-03-18,5,,
Los Angeles,2016-03-19,6,,
Los Angeles,2016-03-20,8,,
Los Angeles,2016-03-21,2,,
Los Angeles,2016-03-22,1,,
Los Angeles,2016-03-24,2,,
Los Angeles,2016-03-25,2,,
Los Angeles,2016-03-26,9,,
Los Angeles,2016-03-27,10,,
Los Angeles,2016-03-28,1,,
Los Angeles,2016-03-29,2,,
Los Angeles,2016-03-30,3,,
Los Angeles,2016-03-31,2,,
Los Angeles,2016-04-01,3,,
Los Angeles,2016-04-02,7,,
Los Angeles,2016-04-03,4,,
Los Angeles,2016-04-04,3,,
Los Angeles,2016-04-06,2,,
Los Angeles,2016-04-07,3,,
Los Angeles,2016-04-08,5,,
Los Angeles,2016-04-09,6,,
Los Angeles,2016-04-10,5,,
Los Angeles,2016-04-11,1,,
Los Angeles,2016-04-13,1,,
Los Angeles,2016-04-14,2,,
Los Angeles,2016-04-15,3,,
Los Angeles,2016-04-16,3,,
Los Angeles,2016-04-17,3,,
Los Angeles,2016-04-18,2,,
Los Angeles,2016-04-19,6,,
Los Angeles,2016-04-20,5,,
Los Angeles,2016-04-21,6,,
Los Angeles,2016-04-22,4,,
Los Angeles,2016-04-23,4,,
Los Angeles,2016-04-24,5,,
Los Angeles,2016-04-26,1,,
Los Angeles,2016-04-27,2,,
Los Angeles,2016-04-28,2,,
Los Angeles,2016-04-29,2,,
Los Angeles,2016-04-30,3,,
Los Angeles,2016-05-01,2,,
Los Angeles,2016-05-02,1,,
Los Angeles,2016-05-04,3,,
Los Angeles,2016-05-05,1,,
Los Angeles,2016-05-06,4,,
Los Angeles,2016-05-07,4,,
Los Angeles,2016-05-08,8,,
Los Angeles,2016-05-11,2,,
Los Angeles,2016-05-12,2,,
Los Angeles,2016-05-13,1,,
Los Angeles,2016-05-14,6,,
Los Angeles,2016-05-15,5,,
Los Angeles,2016-05-16,4,,
Los Angeles,2016-05-17,2,,
Los Angeles,2016-05-19,2,,
Los Angeles,2016-05-20,3,,
Los Angeles,2016-05-21,5,,
Los Angeles,2016-05-22,5,,
Los Angeles,2016-05-25,2,,
Los Angeles,2016-05-26,2,,
Los Angeles,2016-05-27,3,,
Los Angeles,2016-05-28,2,,
Los Angeles,2016-05-29,2,,
Los Angeles,2016-05-30,2,,
Los Angeles,2016-05-31,1,,
Los Angeles,2016-06-01,2,,
Los Angeles,2016-06-02,1,,
Los Angeles,2016-06-04,4,,
Los Angeles,2016-06-05,1,,
Los Angeles,2016-06-06,2,,
Los Angeles,2016-06-08,2,,
Los Angeles,2016-06-09,1,,
Los Angeles,2016-06-11,1,,
Los Angeles,2016-06-12,2,,
Los Angeles,2016-06-16,1,,
Los Angeles,2016-06-17,1,,
Los Angeles,2016-06-19,1,,
Los Angeles,2016-06-22,1,,
Los Angeles,2016-06-24,1,,
Los Angeles,2016-06-25,1,,
Los Angeles,2016-07-03,1,,
Los Angeles,2016-07-07,1,,
Los Angeles,2016-07-09,2,,
Los Angeles,2016-07-15,1,,
Los Angeles,2016-07-16,3,,
Los Angeles,2016-07-17,1,,
Los Angeles,2016-07-18,1,,
Los Angeles,2016-07-19,1,,
Los Angeles,2016-07-24,1,,
Los Angeles,2016-07-25,1,,
Los Angeles,2016-07-28,1,,
Los Angeles,2016-07-29,1,,
Los Angeles,2016-07-30,1,,
Los Angeles,2016-07-31,1,,
Los Angeles,2016-08-04,1,,
Los Angeles,2016-08-06,1,,
Los Angeles,2016-08-07,2,,
Los Angeles,2016-08-10,2,,
Los Angeles,2016-08-11,2,,
Los Angeles,2016-08-12,1,,
Los Angeles,2016-08-13,1,,
Los Angeles,2016-08-14,2,,
Los Angeles,2016-08-26,1,,
Los Angeles,2016-08-27,1,,
Los Angeles,2016-08-28,1,,
Los Angeles,2016-09-04,1,,
Los Angeles,2016-09-12,1,,
Los Angeles,2016-09-17,1,,
Los Angeles,2016-09-25,1,,
Los Angeles,2016-09-29,1,,
Los Angeles,2016-10-07,1,,
Los Angeles,2016-10-15,1,,
Los Angeles,2016-10-16,1,,
Los Angeles,2016-10-20,1,,
Miami,2016-03-15,2,,
Miami,2016-03-17,2,,
Miami,2016-03-18,9,,
Miami,2016-03-19,3,,
Miami,2016-03-20,6,,
Miami,2016-03-23,1,,
Miami,2016-04-02,2,,
Miami,2016-04-03,1,,
Miami,2016-04-09,2,,
Miami,2016-04-10,1,,
Miami,2016-04-16,1,,
Miami,2016-04-17,1,,
Miami,2016-04-24,1,,
Miami,2016-04-27,1,,
Miami,2016-04-30,1,,
Miami,2016-05-07,1,,
Miami,2016-05-12,1,,
Miami,2016-05-13,1,,
Miami,2016-05-15,1,,
Miami,2016-06-03,1,,
Miami,2016-06-11,3,,
Miami,2016-06-14,1,,
Miami,2016-06-26,1,,
Miami,2016-06-27,1,,
Miami,2016-07-02,1,,
Miami,2016-07-03,1,,
Miami,2016-07-08,1,,
Miami,2016-07-19,1,,
Miami,2016-09-02,1,,
Miami,2016-09-07,1,,
Miami,2016-10-23,1,,
Miami,2016-10-25,1,,
Miami,2016-10-26,1,,
Miami,2016-10-30,1,,
Miami Beach,2016-03-14,1,,
Miami Beach,2016-03-15,1,,
Miami Beach,2016-03-16,5,,
