city,date_only,num_events,temperature_avg,precipitation_total
 Covington,2025-12-07,1,,
 Covington,2025-12-08,1,,
 Covington,2025-12-12,1,,
 Covington,2025-12-14,1,,
 Covington,2025-12-28,1,,
Agoura Hills,2025-12-13,1,,
Agoura Hills,2025-12-14,1,,
Agoura Hills,2025-12-20,1,,
Agoura Hills,2025-12-21,1,,
Agoura Hills,2025-12-28,1,,
Akron,2025-12-07,1,,
Akron,2025-12-09,1,,
Akron,2025-12-10,2,,
Akron,2025-12-12,1,,
Akron,2025-12-13,1,,
Akron,2025-12-14,3,,
Akron,2025-12-16,2,,
Akron,2025-12-20,2,,
Akron,2025-12-21,2,,
Akron,2025-12-23,1,,
Albany,2025-10-18,1,,
Albany,2025-12-07,1,,
Albany,2025-12-11,2,,
Albany,2025-12-13,3,,
Albany,2025-12-14,2,,
Albany,2025-12-17,1,,
Albany,2025-12-18,1,,
Albany,2025-12-21,1,,
Albany,2025-12-28,1,,
Alexandria,2025-12-07,1,,
Alexandria,2025-12-08,1,,
Alexandria,2025-12-09,1,,
Alexandria,2025-12-10,1,,
Alexandria,2025-12-11,1,,
Alexandria,2025-12-12,1,,
Alexandria,2025-12-13,1,,
Alexandria,2025-12-14,1,,
Alexandria,2025-12-15,1,,
Alexandria,2025-12-17,1,,
Alexandria,2025-12-18,1,,
Alexandria,2025-12-19,1,,
Alexandria,2025-12-20,1,,
Alexandria,2025-12-22,1,,
Alexandria,2025-12-23,1,,
Alexandria,2025-12-27,1,,
Alexandria,2025-12-28,1,,
Alexandria,2025-12-29,1,,
Anaheim,2025-12-08,1,,
Anaheim,2025-12-09,1,,
Anaheim,2025-12-10,1,,
Anaheim,2025-12-11,2,,
Anaheim,2025-12-13,3,,
Anaheim,2025-12-15,3,,
Anaheim,2025-12-16,1,,
Anaheim,2025-12-18,1,,
Anaheim,2025-12-19,2,,
Anaheim,2025-12-20,1,,
Anaheim,2025-12-21,3,,
Anaheim,2025-12-22,1,,
Anaheim,2025-12-28,2,,
Anderson,2025-12-07,1,,
Ann Arbor,2025-12-07,1,,
Ann Arbor,2025-12-09,1,,
