event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_years_active,year,month,dayofweek,avg_price,price_range,is_sold_out,tickets_per_posting,artist_std,event_datetime,date_only,hour,day_of_week,is_weekend,temperature,precipitation,weather_condition
9537514,2016-07-30 00:00:00,311,The Tabernacle Atlanta,111.05,249.0,15,68,Atlanta,GA,Live Nation,NoPriceClass,0,486064,138,,2016,7,5,180.025,137.95,0,4.533333333333333,311,2016-07-30 00:00:00,2016-07-30,0,5,1,,,
9537515,2016-07-31 00:00:00,311,The Tabernacle Atlanta,96.89,299.0,26,109,Atlanta,GA,Live Nation,NoPriceClass,0,486064,139,,2016,7,6,197.945,202.11,0,4.1923076923076925,311,2016-07-31 00:00:00,2016-07-31,0,6,1,,,
9538723,2016-08-05 23:30:00,311,Austin360 Amphitheater,95.71,449.0,14,42,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,145,,2016,8,4,272.355,353.29,0,3.0,311,2016-08-05 23:30:00,2016-08-05,23,4,0,,,
9538679,2016-03-20 23:30:00,311,Blue Hills Bank Pavilion,107.52,234.0,6,20,Boston,MA,Live Nation,NoPriceClass,0,486064,7,,2016,3,6,170.76,126.48,0,3.333333333333333,311,2016-03-20 23:30:00,2016-03-20,23,6,1,,,
9538635,2016-07-09 00:30:00,311,FirstMerit Bank Pavilion at Northerly Island,65.43,140.0,20,130,Chicago,IL,Live Nation,NoPriceClass,0,486064,117,,2016,7,5,102.715,74.57,0,6.5,311,2016-07-09 00:30:00,2016-07-09,0,5,1,,,
9538725,2016-08-06 23:30:00,311,Gexa Energy Pavilion,94.5,556.0,17,64,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,146,,2016,8,5,325.25,461.5,0,3.764705882352941,311,2016-08-06 23:30:00,2016-08-06,23,5,1,,,
9537516,2016-08-01 01:00:00,311,Marathon Music Works,85.08,126.0,9,52,Nashville,TN,Ticketfly,$40.00 ,0,486064,140,28.0,2016,8,0,105.54,40.92,0,5.777777777777778,311,2016-08-01 01:00:00,2016-08-01,1,0,0,,,
9538643,2016-07-17 22:00:00,311,Maine State Pier,79.2,139.0,13,66,Portland,ME,Ticketmaster,$39.75 ,0,486064,126,28.0,2016,7,6,109.1,59.8,0,5.076923076923077,311,2016-07-17 22:00:00,2016-07-17,22,6,1,,,
9538728,2016-08-15 01:30:00,311,Nob Hill Masonic Auditorium,95.72,225.0,6,23,San Francisco,CA,NoVendorClass,NoPriceClass,NoSoldOutClass,486064,154,,2016,8,0,160.36,129.28,0,3.8333333333333335,311,2016-08-15 01:30:00,2016-08-15,1,0,0,,,
9529143,2016-03-18 16:00:00,10 Years of Juicy Beach with Robbie Rivera,Epic Hotel Miami,72.65,59.95,2,4,Miami,FL,NoResults,NoResults,NoResults,NoResults,5,,2016,3,4,66.30000000000001,-12.700000000000005,0,2.0,10 years of juicy beach with robbie rivera,2016-03-18 16:00:00,2016-03-18,16,4,0,,,
9540796,2016-04-15 01:00:00,"103.5 Kiss FM Spring show with Alessia Cara, Mike Posner and Daya",Vic Theatre,85.1,74.95,2,10,Chicago,IL,NoResults,NoResults,NoResults,NoResults,32,,2016,4,4,80.025,-10.149999999999991,0,5.0,"103.5 kiss fm spring show with alessia cara, mike posner and daya",2016-04-15 01:00:00,2016-04-15,1,4,0,,,
9534146,2016-06-09 14:29:00,2016 CMA Fan Fair X 4 Day Pass,Music City Center Nashville,87.79,330.0,4,44,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,2016,6,3,208.895,242.21,0,11.0,2016 cma fan fair x 4 day pass,2016-06-09 14:29:00,2016-06-09,14,3,0,,,
9534143,2016-06-10 14:30:00,2016 CMA Fan Fair X Friday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,89,,2016,6,4,65.1,1.7000000000000028,0,5.055555555555555,2016 cma fan fair x friday only,2016-06-10 14:30:00,2016-06-10,14,4,0,,,
9534144,2016-06-11 14:30:00,2016 CMA Fan Fair X Saturday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,90,,2016,6,5,65.1,1.7000000000000028,0,5.055555555555555,2016 cma fan fair x saturday only,2016-06-11 14:30:00,2016-06-11,14,5,1,,,
9534145,2016-06-12 14:30:00,2016 CMA Fan Fair X Sunday Only,Music City Center Nashville,64.25,65.95,18,91,Nashville,TN,NoResults,NoResults,NoResults,NoResults,91,,2016,6,6,65.1,1.7000000000000028,0,5.055555555555555,2016 cma fan fair x sunday only,2016-06-12 14:30:00,2016-06-12,14,6,1,,,
9534142,2016-06-09 14:30:00,2016 CMA Fan Fair X Thursday Only,Music City Center Nashville,64.25,65.95,3,38,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,2016,6,3,65.1,1.7000000000000028,0,12.666666666666666,2016 cma fan fair x thursday only,2016-06-09 14:30:00,2016-06-09,14,3,0,,,
