city,year,month,num_events,temperature_avg_month,precipitation_total_month
 Covington,2025,12,5,,
Agoura Hills,2025,12,5,,
Akron,2025,12,16,,
Albany,2025,10,1,,
Albany,2025,12,12,,
Alexandria,2025,12,18,,
Anaheim,2025,12,22,,
Anderson,2025,12,1,,
Ann Arbor,2025,12,13,,
Annapolis,2025,12,20,,
Appleton,2025,12,3,,
Asbury Park,2025,12,22,,
Aspen,2025,12,2,,
Athens,2025,12,4,,
Atlanta,2025,12,97,,
Atlantic City,2025,12,4,,
Aurora,2025,12,16,,
Bakersfield,2025,12,5,,
Baton Rouge,2025,12,10,,
Battle Creek,2025,12,1,,
Bay St Louis,2025,12,1,,
Belleville,2025,12,6,,
Bellflower,2025,12,1,,
Belmont Park,2025,12,5,,
Berkeley,2025,12,3,,
Berwyn,2025,12,55,,
Bethel,2025,12,2,,
Bethesda,2025,12,2,,
Beverly Hills,2025,12,3,,
Biloxi,2025,12,5,,
Binghamton,2025,12,1,,
Birmingham,2025,12,48,,
Bloomington,2025,12,2,,
Bossier City,2025,12,1,,
Boulder,2025,12,5,,
Braidwood,2025,12,1,,
Branson,2025,12,4,,
Brea,2025,12,2,,
Bridgeport,2025,12,2,,
Brookfield,2025,12,2,,
Brooklyn,2025,12,60,,
Brooklyn ,2025,12,15,,
Brookville,2025,12,2,,
Buffalo,2025,12,12,,
Cabazon,2025,12,1,,
Canton,2025,12,2,,
Carmel,2025,12,2,,
Carrboro,2025,12,1,,
Cary,2025,12,1,,
Catoosa,2025,12,1,,
Cerritos,2025,12,9,,
Charlotte,2025,12,30,,
Charlottesville,2025,12,20,,
Chattanooga,2025,12,12,,
Cherokee,2025,12,2,,
Chicago,2025,12,207,,
Chico,2025,12,1,,
Cincinnati,2025,12,35,,
Clearwater,2025,12,3,,
Cleveland,2025,12,27,,
Clifton,2025,12,10,,
Colorado Springs,2025,12,24,,
Columbus,2025,12,53,,
Corona,2025,12,1,,
Cortland,2025,12,2,,
Covington ,2025,12,6,,
Dallas,2025,12,57,,
Danville,2025,12,3,,
Darien,2025,12,5,,
Dayton,2025,12,3,,
Deadwood,2025,12,1,,
Denham Springs,2025,12,2,,
Denver,2025,12,103,,
Destin,2025,12,3,,
Detroit,2025,12,48,,
Dothan,2025,12,1,,
Downey,2025,12,3,,
Dubuque,2025,12,3,,
Duluth,2025,12,4,,
Durant,2025,12,4,,
Durham,2025,12,2,,
East Lansing,2025,12,1,,
Elizabeth,2025,12,1,,
Elkhart,2025,12,1,,
Elmira,2025,12,2,,
Emporia,2025,12,1,,
Englewood,2025,12,12,,
Evanston,2025,12,28,,
Fairfax,2025,12,2,,
Fayetteville,2025,12,2,,
Felton,2025,12,3,,
Ferndale,2025,12,13,,
Flint,2025,12,5,,
Flushing,2025,12,1,,
Fontana,2025,12,8,,
Fort Collins,2025,12,3,,
Fort Smith,2025,12,2,,
Fort Wayne,2025,12,4,,
Fort Worth,2025,12,24,,
French Lick,2025,12,1,,
Frisco,2025,6,1,,
Garden Grove,2025,12,10,,
Gary,2025,12,2,,
Glendale,2025,12,4,,
Grain Valley,2025,12,1,,
Grand Island,2025,12,2,,
Grand Prairie,2025,12,6,,
Grand Rapids,2025,12,29,,
Grant,2025,12,1,,
Greensboro,2025,12,2,,
Greenville,2025,12,1,,
Grove City,2025,12,2,,
Gulfport,2025,12,1,,
Hammond,2025,12,4,,
Hampton,2025,12,1,,
Hamtramck,2025,12,16,,
Hanover,2025,12,1,,
Hattiesburg,2025,12,4,,
Henderson,2025,12,1,,
Hesperia,2025,12,1,,
Hickory,2025,12,3,,
Highland,2025,12,5,,
Hobart,2025,12,7,,
Holland,2025,12,1,,
Holly,2025,12,1,,
Hollywood,2025,12,28,,
Huntington,2025,12,6,,
Huntsville,2025,12,9,,
Indianapolis,2025,12,15,,
Inglewood,2025,12,2,,
Irving,2025,12,4,,
Island Lake,2025,12,6,,
Jackson,2025,12,4,,
Jacksonville,2025,12,17,,
Jersey City,2025,12,2,,
Jim Thorpe,2025,12,5,,
Joliet,2025,12,15,,
Kansas City,2025,12,22,,
Kansas City ,2025,12,1,,
Kingston,2025,1,1,,
Kingston,2025,12,1,,
Lafayette,2025,1,1,,
Lafayette,2025,12,1,,
Lake Tahoe,2025,12,4,,
Lakewood,2025,12,27,,
Lancaster,2025,12,3,,
Las Vegas,2025,10,4,,
Las Vegas,2025,12,222,,
Lawrence,2025,12,1,,
Lawrenceburg,2025,12,1,,
Leesburg,2025,12,11,,
Lemont,2025,12,4,,
Lexington,2025,12,7,,
Libertyville ,2025,12,6,,
Lincoln,2025,12,18,,
Little Rock,2025,12,2,,
Los Angeles,2025,12,183,,
Louisville,2025,12,15,,
Madison,2025,12,26,,
Malibu,2025,12,1,,
Manchester,2025,12,2,,
Maspeth,2025,12,6,,
McDonough,2025,12,1,,
Memphis,2025,12,3,,
Menlo Park,2025,12,3,,
Middletown,2025,12,2,,
Milford,2025,12,4,,
Milwaukee,2025,12,23,,
Mobile,2025,12,12,,
Montclair,2025,12,6,,
Monterey,2025,12,3,,
Montgomery,2025,12,3,,
Mount Clemens,2025,12,1,,
Mount Pleasant,2025,12,1,,
Mulvane,2025,12,1,,
Myrtle Beach,2025,12,1,,
Napa,2025,12,32,,
Nashville,2025,12,6,,
National Harbor,2025,12,8,,
New Bern,2025,12,2,,
New Brunswick,2025,12,2,,
New Haven,2025,12,6,,
New Kent,2025,12,2,,
New Orleans,2025,12,125,,
New Philadelphia,2025,12,2,,
New York,2025,12,406,,
Newport,2025,12,24,,
Newport News,2025,12,1,,
Niagara Falls,2025,12,3,,
Norfolk,2025,12,5,,
Norman,2025,12,1,,
North Little Rock,2025,12,1,,
North Myrtle Beach,2025,12,7,,
Northfield,2025,12,4,,
Northridge,2025,12,1,,
Oakland,2025,12,21,,
Oklahoma City,2025,12,11,,
Omaha,2025,12,10,,
Ontario,2025,12,1,,
Orlando,2025,12,62,,
Ormond Bch,2025,12,1,,
Ormond Beach,2025,12,2,,
Oxford,2025,12,5,,
Oxnard,2025,12,23,,
Palatine,2025,12,7,,
Palmdale,2025,12,10,,
Park City,2025,12,4,,
Pawling,2025,12,16,,
Pensacola,2025,12,5,,
Pinellas Park,2025,12,1,,
Pioneertown,2025,12,8,,
Plymouth,2025,12,2,,
Pomona,2025,12,3,,
Ponte Vedra Beach,2025,12,1,,
Pontiac,2025,12,8,,
Port Chester,2025,12,12,,
Primm,2025,12,3,,
Queens,2025,12,1,,
Raleigh,2025,12,10,,
Red Bank,2025,12,22,,
Richmond,2025,12,10,,
Riverside,2025,12,7,,
Rochester,2025,12,18,,
Rockford,2025,12,3,,
Rohnert Park,2025,12,1,,
Rosemont,2025,12,12,,
Roseville,2025,12,4,,
Royal Oak,2025,12,3,,
Rutherford,2025,12,8,,
