city,year,week,num_events,temperature_avg_week,precipitation_total_week
 Covington,2025,49,1,,
 Covington,2025,50,3,,
 Covington,2025,52,1,,
Agoura Hills,2025,50,2,,
Agoura Hills,2025,51,2,,
Agoura Hills,2025,52,1,,
Akron,2025,49,1,,
Akron,2025,50,8,,
Akron,2025,51,6,,
Akron,2025,52,1,,
Albany,2025,42,1,,
Albany,2025,49,1,,
Albany,2025,50,7,,
Albany,2025,51,3,,
Albany,2025,52,1,,
Alexandria,2025,1,1,,
Alexandria,2025,49,1,,
Alexandria,2025,50,7,,
Alexandria,2025,51,5,,
Alexandria,2025,52,4,,
Anaheim,2025,50,8,,
Anaheim,2025,51,11,,
Anaheim,2025,52,3,,
Anderson,2025,49,1,,
Ann Arbor,2025,49,1,,
Ann Arbor,2025,50,5,,
Ann Arbor,2025,51,5,,
Ann Arbor,2025,52,2,,
Annapolis,2025,1,3,,
Annapolis,2025,49,1,,
Annapolis,2025,50,9,,
Annapolis,2025,51,3,,
Annapolis,2025,52,4,,
Appleton,2025,49,1,,
Appleton,2025,50,2,,
Asbury Park,2025,1,1,,
Asbury Park,2025,49,4,,
Asbury Park,2025,50,7,,
Asbury Park,2025,51,5,,
Asbury Park,2025,52,5,,
Aspen,2025,52,2,,
Athens,2025,1,1,,
Athens,2025,50,1,,
Athens,2025,51,2,,
Atlanta,2025,1,12,,
Atlanta,2025,49,4,,
Atlanta,2025,50,43,,
Atlanta,2025,51,31,,
Atlanta,2025,52,7,,
Atlantic City,2025,51,4,,
Aurora,2025,1,1,,
Aurora,2025,49,3,,
Aurora,2025,50,5,,
Aurora,2025,51,3,,
Aurora,2025,52,4,,
Bakersfield,2025,50,4,,
Bakersfield,2025,52,1,,
Baton Rouge,2025,49,1,,
Baton Rouge,2025,50,6,,
Baton Rouge,2025,51,1,,
Baton Rouge,2025,52,2,,
Battle Creek,2025,1,1,,
Bay St Louis,2025,49,1,,
Belleville,2025,49,2,,
Belleville,2025,50,1,,
Belleville,2025,51,2,,
Belleville,2025,52,1,,
Bellflower,2025,49,1,,
Belmont Park,2025,49,1,,
Belmont Park,2025,50,2,,
Belmont Park,2025,51,1,,
Belmont Park,2025,52,1,,
Berkeley,2025,50,3,,
Berwyn,2025,1,2,,
Berwyn,2025,49,8,,
Berwyn,2025,50,18,,
Berwyn,2025,51,17,,
Berwyn,2025,52,10,,
Bethel,2025,50,2,,
Bethesda,2025,1,2,,
Beverly Hills,2025,50,2,,
Beverly Hills,2025,51,1,,
Biloxi,2025,49,3,,
Biloxi,2025,50,1,,
Biloxi,2025,52,1,,
Binghamton,2025,51,1,,
Birmingham,2025,1,4,,
Birmingham,2025,49,2,,
Birmingham,2025,50,19,,
Birmingham,2025,51,14,,
Birmingham,2025,52,9,,
Bloomington,2025,50,2,,
Bossier City,2025,49,1,,
Boulder,2025,50,4,,
Boulder,2025,51,1,,
Braidwood,2025,49,1,,
Branson,2025,50,3,,
Branson,2025,51,1,,
Brea,2025,50,1,,
Brea,2025,51,1,,
Bridgeport,2025,50,2,,
Brookfield,2025,50,2,,
Brooklyn,2025,1,6,,
Brooklyn,2025,49,7,,
Brooklyn,2025,50,23,,
Brooklyn,2025,51,20,,
Brooklyn,2025,52,4,,
Brooklyn ,2025,49,4,,
Brooklyn ,2025,50,6,,
Brooklyn ,2025,51,3,,
Brooklyn ,2025,52,2,,
Brookville,2025,49,1,,
Brookville,2025,50,1,,
Buffalo,2025,1,1,,
